IC1558       8.946172 -25.374404  9.0 13.7    4.6 14.73 0.01 14.43 0.01 13.337 0.002 1100 AIS_275_50275_0001_sv88/AIS_275_sg88                            AIS    373.35   221.00
NGC0178      9.784857 -14.172626  8.7 18.4 -999.0 14.16 0.01 13.99 0.01 13.193 0.001 0    GI1_009077_NGC0210_21091/GI1_009077_NGC0210                     GII   1595.20  1595.20
NGC0210     10.145717 -13.872773  3.1 21.0    1.3 13.99 0.08 13.76 0.01 10.792 0.001 1102 GI1_009077_NGC0210_21091/GI1_009077_NGC0210                     GII   1595.20  1595.20
ESO079-005  10.182495 -63.441987  7.0 23.5    2.8 15.28 0.01 14.97 0.01 13.866 0.004 1032 AIS_397_50397_0001_sv57/AIS_397_sg57                            AIS    102.10   102.10
NGC0216     10.363123 -21.044899 -1.9 19.1 -999.0 15.54 0.01 15.10 0.01 13.059 0.004 0    AIS_275_50275_0001_sv37/AIS_275_sg37                            AIS    106.00   106.00
PGC002492   10.439405 -16.860757  2.0 20.7 -999.0 15.74 0.02 15.50 0.01 14.155 0.006 0    AIS_271_50271_0001_sv84/AIS_271_sg84                            AIS    107.00   107.00
IC1574      10.765448 -22.245836  9.9  4.8    0.2 16.57 0.01 16.09 0.01 14.749 0.017 355  GI4_095043_IC1574_24183/GI4_095043_IC1574                       GII   1619.10  1619.10
NGC0244     11.443430 -15.596570 -2.0 11.6 -999.0 15.19 0.01 14.94 0.01 13.593 0.003 0    AIS_271_50271_0001_sv73/AIS_271_sg73                            AIS    135.00   135.00
PGC002689   11.515689 -11.506472  8.8 20.2 -999.0 15.37 0.03 15.21 0.02 14.693 0.009 0    AIS_271_50271_0001_sv23/AIS_271_sg23                            AIS    211.00   211.00
UGC00477    11.554634  19.489885  7.9 35.8    0.4 15.86 0.01 15.66 0.01 14.328 0.002 1294 AIS_285_50285_0001_sv39/AIS_285_sg39                            AIS    134.70   134.70
ESO411-013  11.776317 -31.581403  9.0 23.5 -999.0 17.87 0.25 17.36 0.03 16.037 0.002 0    AIS_281_50281_0001_sv44/AIS_281_sg44                            AIS    317.00   206.00
NGC0247     11.785305 -20.760176  6.9  3.6    0.5 11.42 0.02 11.12 0.02  9.135 0.001 233  NGA_NGC0247_05008/NGA_NGC0247                                   NGS   2507.25  2507.25
NGC0254     11.865155 -31.421775 -1.2 17.1 -999.0 17.71 0.15 16.39 0.03 11.387 0.001 0    AIS_281_50281_0001_sv44/AIS_281_sg44                            AIS    317.00   206.00
NGC0255     11.946929 -11.468734  4.1 20.0 -999.0 13.98 0.01 13.75 0.02 12.252 0.002 0    AIS_271_50271_0001_sv23/AIS_271_sg23                            AIS    211.00   211.00
PGC002805   11.948177  -9.899568  6.7 16.4    0.5 15.61 0.01 15.32 0.01 14.624 0.005 1101 GI3_121016_J004658m094239_23907/GI3_121016_J004658m094239       GII   2487.15  2487.15
ESO540-031  12.457500 -21.012730  9.8  3.4    0.2 16.85 0.01 16.59 0.02 16.189 0.048 233  GI1_009002_UGCA015_21037/GI1_009002_UGCA015                     GII   1516.00  1516.00
ESO079-007  12.517568 -66.552204  4.0 25.2    4.5 15.21 0.04 14.94 0.01 13.570 0.001 0    AIS_397_50397_0001_sv80/AIS_397_sg80                            AIS    301.05    80.00
NGC0274     12.757695  -7.056978 -2.8 20.3    1.5 14.52 0.01 14.13 0.01 12.091 0.001 1103 AIS_268_50268_0001_sv69/AIS_268_sg69                            AIS    112.00   112.00
NGC0275     12.768555  -7.065730  6.0 21.9 -999.0 14.50 0.01 14.15 0.01 12.284 0.001 0    AIS_268_50268_0001_sv69/AIS_268_sg69                            AIS    112.00   112.00
PGC003062   13.072022  -3.966015  6.8 18.8 -999.0 17.04 0.20 16.59 0.02 15.291 0.009 0    AIS_267_50267_0001_sv42/AIS_267_sg42                            AIS    106.10   106.10
NGC0289     13.176101 -31.205822  4.0 22.8    4.1 13.32 0.05 13.15 0.06 10.522 0.003 1098 MIS2DFSGP_30859_0370_04407/MIS2DFSGP_30859_0370                 MIS   1234.05  1234.05
ESO411-026  13.190037 -31.717423  9.0 21.5 -999.0 17.57 0.01 17.33 0.01 15.931 0.003 0    MIS2DFSGP_41541_0444_04532/MIS2DFSGP_41541_0444                 MIS    908.00   908.00
IC1596      13.678501  21.522619  2.0 35.7 -999.0 16.22 0.02 15.82 0.02 13.877 0.003 0    AIS_285_50285_0001_sv53/AIS_285_sg53                            AIS    214.00   214.00
NGC0300     13.722672 -37.684196  6.9  2.0    0.3 10.28 0.03 10.12 0.03  8.408 0.001 234  GI1_061002_NGC0300_21805/GI1_061002_NGC0300                     GII  12987.60 12987.60
NGC0298     13.759547  -7.332947  5.9 23.4 -999.0 15.71 0.04 15.23 0.02 13.838 0.009 0    AIS_268_50268_0001_sv77/AIS_268_sg77                            AIS    173.00   173.00
ESO541-004  14.741564 -18.742712  4.2 32.5    4.8 15.26 0.01 14.92 0.01 12.419 0.001 1301 AIS_276_50276_0001_sv11/AIS_276_sg11                            AIS    187.00   187.00
ESO541-005  14.826662 -20.578984  8.0 26.1 -999.0 17.06 0.07 16.81 0.03 15.462 0.001 0    AIS_276_50276_0001_sv29/AIS_276_sg29                            AIS    123.00   214.00
NGC0337     14.958750  -7.578180  6.7 22.1    2.1 13.83 0.01 13.12 0.01 11.465 0.001 1103 NGA_NGC0337_05014/NGA_NGC0337                                   NGS   1668.35  1668.35
UGC00634    15.353486   7.625458  8.8 28.7 -999.0 16.20 0.03 15.95 0.02 15.008 0.005 904  AIS_264_50264_0001_sv50/AIS_264_sg50                            AIS    197.05   197.05
NGC0337A    15.391406  -7.588056  8.0 13.7 -999.0 14.08 0.06 13.68 0.08 12.882 0.001 0    NGA_NGC0337_05014/NGA_NGC0337                                   NGS   1668.35  1668.35
NGC0360     15.714461 -65.609977  4.4 32.8    5.5 16.70 0.02 16.21 0.03 11.700 0.001 1290 AIS_397_50397_0001_sv87/AIS_397_sg87                            AIS    336.00   112.00
PGC003853   16.270287  -6.212446  7.0 12.6    1.7 14.51 0.02 13.68 0.01 11.556 0.001 333  AIS_268_50268_0001_sv66/AIS_268_sg66                            AIS    105.00   105.00
PGC003855   16.286160  -6.279000  8.8 32.3 -999.0 19.58 0.34 16.96 0.06 15.438 0.006 0    AIS_268_50268_0001_sv66/AIS_268_sg66                            AIS    105.00   105.00
UGC00711    17.154755   1.640961  6.5 24.7    5.5 16.28 0.01 15.84 0.01 14.335 0.002 905  MISWZS01_30937_0266_17367/MISWZS01_30937_0266                   MIS   1682.20  1682.20
PGC004143   17.422960  -2.266654  9.8 24.9 -999.0 16.50 0.03 16.21 0.03 15.043 0.219 0    MISWZS01_29191_0269_17333/MISWZS01_29191_0269                   MIS   1695.15  1695.15
NGC0428     18.231750   0.981680  8.6 14.7    1.2 13.38 0.01 13.12 0.01 11.808 0.001 334  GI1_009070_NGC0428_21085/GI1_009070_NGC0428                     GII   1634.15  1634.15
NGC0450     18.876938  -0.860852  5.8 20.1    1.5 14.05 0.01 13.69 0.01 12.512 0.002 921  MISWZS01_19004_0269o_17448/MISWZS01_19004_0269o                 MIS   2926.75  2926.75
NGC0470     19.936847   3.409903  3.1 38.9    6.0 14.80 0.01 14.37 0.01 11.320 0.001 901  NGRG_A227_05606/NGRG_A227                                       NGS   2690.30  2690.30
NGC0473     19.979376  16.544770 -0.3 29.8 -999.0 16.19 0.02 15.53 0.03 12.152 0.001 0    AIS_183_50183_0001_sv28/AIS_183_sg28                            AIS    226.00   109.00
NGC0474     20.027841   3.415528 -2.0 30.9    2.1 18.04 0.12 15.89 0.08 11.284 0.001 0    NGRG_A227_05606/NGRG_A227                                       NGS   2690.30  2690.30
UGC00866    20.028489  -0.205455  7.8 26.2    0.3 17.17 0.01 16.84 0.01 15.343 0.001 921  MISWZS01_17324_0267_17432/MISWZS01_17324_0267                   MIS   2880.45  2880.45
UGC00882    20.231151   6.574113  9.8 31.1 -999.0 17.02 0.03 16.69 0.01 15.168 0.005 0    MISGCSS_17182_2314_41868/MISGCSS_17182_2314                     MIS   1645.05  1645.05
UGC00891    20.329500  12.411670  9.0  9.4 -999.0 16.31 0.01 16.07 0.01 14.927 0.003 0    GI1_047006_UGC00891_21285/GI1_047006_UGC00891                   GII   4375.85  2706.50
PGC090540   20.348690  -1.862720  7.9 40.6    0.6 18.55 0.01 18.03 0.09 16.945 0.012 0    MISWZS01_17362_0269_17268/MISWZS01_17362_0269                   MIS   3262.15  3262.15
NGC0485     20.365077   7.018252  6.0 35.7    3.2 16.45 0.01 15.83 0.01 13.231 0.001 901  MISGCSS_17182_2314_41868/MISGCSS_17182_2314                     MIS   1645.05  1645.05
NGC0488     20.444924   5.256812  2.9 29.3 -999.0 14.60 0.01 13.99 0.01  9.663 0.001 0    MISWZS01_17216_0267_17374/MISWZS01_17216_0267                   MIS   2273.75  2273.75
UGC00903    20.449264  17.592603  4.0 40.4    8.8 17.01 0.08 16.59 0.05 11.703 0.001 910  AIS_183_50183_0001_sv27/AIS_183_sg27                            AIS    163.15   163.15
NGC0489     20.474474   9.206617  5.0 43.3    5.1 17.05 0.01 16.45 0.03 12.252 0.001 908  AIS_264_50264_0001_sv82/AIS_264_sg82                            AIS    212.00   212.00
NGC0493     20.537547   0.945508  5.9 25.7    2.9 14.79 0.01 14.37 0.01 12.381 0.001 901  MISWZS01_17323_0267_17264/MISWZS01_17323_0267                   MIS   3116.25  3116.25
UGC00941    20.884736   6.960419  9.9 36.4 -999.0 16.53 0.03 16.30 0.06 15.439 0.103 0    MISGCSS_17182_2314_41868/MISGCSS_17182_2314                     MIS   1645.05  1645.05
NGC0514     21.016153  12.917441  5.2 29.4    4.1 14.68 0.01 14.31 0.01 11.775 0.001 907  NGA_NGC0514_05020/NGA_NGC0514                                   NGS   1700.10  1700.10
IC0101      21.035722   9.930381  3.0 44.4    1.0 17.51 0.03 16.98 0.01 14.174 0.001 908  GI1_109015_NGC0524_21735/GI1_109015_NGC0524                     GII   4534.75  1652.25
NGC0518     21.073533   9.330937  1.0 35.4 -999.0 19.91 0.10 18.15 0.15 12.392 0.009 0    GI1_109015_NGC0524_21735/GI1_109015_NGC0524                     GII   4534.75  1652.25
UGC00958    21.142548  16.536992  5.7 34.4    2.5 16.69 0.01 16.40 0.08 15.531 0.001 910  AIS_183_50183_0001_sv37/AIS_183_sg37                            AIS    205.05   167.05
NGC0520     21.145375   3.791594  1.3 27.8 -999.0 15.99 0.02 15.08 0.01 10.773 0.001 0    NGA_NGC0520_05019/NGA_NGC0520                                   NGS   1684.25  1684.25
UGC00964    21.145607   7.721099  3.0 65.7   24.5 17.20 0.01 16.67 0.02 14.500 0.002 912  MISGCSS_17181_2314_41870/MISGCSS_17181_2314                     MIS   1672.00  1672.00
NGC0522     21.190962   9.994722  4.1 46.1    8.6 18.58 0.14 17.83 0.07 11.975 0.001 913  GI1_109015_NGC0524_21735/GI1_109015_NGC0524                     GII   4534.75  1652.25
NGC0532     21.322172   9.264103  1.9 31.2    1.3 17.70 0.25 16.65 0.04 11.466 0.001 908  GI1_109015_NGC0524_21735/GI1_109015_NGC0524                     GII   4534.75  1652.25
PGC005329   21.491078  -3.982276  8.0 26.6 -999.0 16.82 0.02 16.39 0.04 15.118 0.021 0    AIS_268_50268_0001_sv09/AIS_268_sg09                            AIS    112.00   112.00
PGC005341   21.560269  -6.093568  5.6 26.9    4.1 15.66 0.01 15.15 0.01 12.933 0.002 895  AIS_268_50268_0001_sv16/AIS_268_sg16                            AIS    163.05   163.05
UGC01014    21.598213   6.277794  9.3 28.4 -999.0 16.35 0.01 15.98 0.01 14.843 0.010 0    MISGCSS_17214_2314_41871/MISGCSS_17214_2314                     MIS   1648.00  1648.00
ESO476-010  21.676041 -25.314961  8.8 21.8    1.7 16.63 0.01 16.39 0.03 15.466 0.002 923  AIS_276_50276_0001_sv82/AIS_276_sg82                            AIS    182.05   182.05
UGC01020    21.683260  17.264476  2.1 34.5 -999.0 18.18 0.32 17.08 0.06 13.806 0.001 0    AIS_183_50183_0001_sv36/AIS_183_sg36                            AIS    172.05   172.05
NGC0578     22.619133 -22.667096  5.0 21.8    3.4 13.50 0.01 13.16 0.01 11.181 0.001 923  GI1_009076_NGC0578_21090/GI1_009076_NGC0578                     GII   1591.20  1591.20
NGC0584     22.836269  -6.867963 -4.7 19.9    2.3 17.44 0.06 15.69 0.02 10.033 0.001 895  NGA_NGC0584_05022/NGA_NGC0584                                   NGS   1684.15  1684.15
UGC01104    23.177167  18.317079  9.5  7.6 -999.0 15.64 0.01 15.40 0.01 14.314 0.027 0    GI1_036006_UGC01104_21247/GI1_036006_UGC01104                   GII   2864.00  1168.00
ESO013-016  23.201707 -79.473880  7.5 23.0    0.9 14.80 0.01 14.57 0.01 13.127 0.002 0    AIS_398_50398_0001_sv78/AIS_398_sg78                            AIS    128.00   128.00
NGC0600     23.271901  -7.311644  7.0 22.9 -999.0 14.67 0.01 14.34 0.01 12.609 0.001 0    AIS_269_50269_0001_sv25/AIS_269_sg25                            AIS    197.15   197.15
UGC01110    23.323823  13.332481  5.9 36.3    2.3 17.05 0.03 16.78 0.01 14.384 0.001 907  AIS_264_50264_0001_sv86/AIS_264_sg86                            AIS    215.00   215.00
UGC01112    23.328585   3.070333  5.8 25.8    0.5 17.10 0.02 16.66 0.01 14.610 0.009 0    AIS_266_50266_0001_sv54/AIS_266_sg54                            AIS    211.00   211.00
