nm,%R
621,88.4667
622,88.4559
623,88.4454
624,88.4349
625,88.4246
626,88.4145
627,88.4045
628,88.3947
629,88.385
630,88.3755
631,88.3661
632,88.3568
633,88.3477
634,88.3387
635,88.3299
636,88.3212
637,88.3126
638,88.3042
639,88.2958
640,88.2877
641,88.2796
642,88.2717
643,88.2639
644,88.2562
645,88.2487
646,88.2413
647,88.234
648,88.2268
649,88.2198
650,88.2128
651,88.206
652,88.1993
653,88.1867
654,88.1723
655,88.158
656,88.1438
657,88.1298
658,88.116
659,88.1023
660,88.0887
661,88.0753
662,88.062
663,88.0489
664,88.0359
665,88.0231
666,88.0104
667,87.9978
668,87.9854
669,87.9731
670,87.9609
671,87.9489
672,87.937
673,87.9252
674,87.9136
675,87.902
676,87.8907
677,87.8794
678,87.8683
679,87.8573
680,87.8464
681,87.8356
682,87.825
683,87.8144
684,87.804
685,87.7937
686,87.7836
687,87.7735
688,87.7636
689,87.7518
690,87.7316
691,87.7115
692,87.6916
693,87.6719
694,87.6523
695,87.6329
696,87.6136
697,87.5945
698,87.5755
699,87.5567
700,87.538
701,87.5195
702,87.5012
703,87.4829
704,87.4649
705,87.4469
706,87.4292
707,87.4115
708,87.394
709,87.3767
710,87.3595
711,87.3424
712,87.3255
713,87.3087
714,87.292
715,87.2755
716,87.2591
717,87.2429
718,87.2268
719,87.2108
720,87.195
721,87.1792
722,87.1636
723,87.1482
724,87.1328
725,87.1176
726,87.1026
727,87.0876
728,87.0728
729,87.0581
730,87.0294
731,86.9941
732,86.9591
733,86.9242
734,86.8895
735,86.8549
736,86.8205
737,86.7863
738,86.7522
739,86.7183
740,86.6846
741,86.651
742,86.6176
743,86.5843
744,86.5512
745,86.5182
746,86.4854
747,86.4528
748,86.4203
749,86.388
750,86.3558
751,86.3238
752,86.292
753,86.2603
754,86.2287
755,86.1973
756,86.1661
757,86.135
758,86.104
759,86.0733
760,86.0426
761,86.0121
762,85.9818
763,85.9516
764,85.9215
765,85.8916
766,85.8619
767,85.8323
768,85.8028
769,85.7735
770,85.7443
771,85.7153
772,85.6864
773,85.6576
774,85.629
775,85.5993
776,85.5567
777,85.514
778,85.4714
779,85.4288
780,85.3863
781,85.3437
782,85.3011
783,85.2586
784,85.2161
785,85.1735
786,85.131
787,85.0886
788,85.0461
789,85.0036
790,84.9612
791,84.9187
792,84.8763
793,84.8339
794,84.7915
795,84.7554
796,84.7411
797,84.7269
798,84.7126
799,84.6982
800,84.6839
801,84.6694
802,84.655
803,84.6405
804,84.626
805,84.6114
806,84.5969
807,84.5822
808,84.5676
809,84.5529
810,84.5381
811,84.5234
812,84.5086
813,84.4937
814,84.4788
815,84.4639
816,84.456
817,84.4637
818,84.4715
819,84.4792
820,84.4869
821,84.4947
822,84.5024
823,84.5101
824,84.5179
825,84.5256
826,84.5333
827,84.541
828,84.5487
829,84.5564
830,84.5641
831,84.5718
832,84.5795
833,84.5872
834,84.5949
835,84.6026
836,84.6103
837,84.618
838,84.6328
839,84.6679
840,84.7031
841,84.7384
842,84.7737
843,84.809
844,84.8445
845,84.88
846,84.9156
847,84.9513
848,84.987
849,85.0228
850,85.0587
851,85.0946
852,85.1306
853,85.1667
854,85.2028
855,85.239
856,85.2753
857,85.3116
858,85.3481
859,85.3846
860,85.4211
861,85.4578
862,85.4945
863,85.5312
864,85.5681
865,85.605
866,85.642
867,85.679
868,85.7162
869,85.7534
870,85.7906
871,85.828
872,85.8654
873,85.9029
874,85.9404
875,85.9781
876,86.0158
877,86.0535
878,86.0914
879,86.1293
880,86.1673
881,86.2053
882,86.2435
883,86.2817
884,86.32
885,86.3583
886,86.4125
887,86.4915
888,86.5704
889,86.6493
890,86.7281
891,86.8068
892,86.8855
893,86.9642
894,87.0428
895,87.1213
896,87.1998
897,87.2782
898,87.3566
899,87.4349
900,87.5131
901,87.5913
902,87.6694
903,87.7474
904,87.8254
905,87.9033
906,87.9812
907,88.059
908,88.1367
909,88.2144
910,88.2919
911,88.3695
912,88.4479
913,88.528
914,88.608
915,88.6878
916,88.7674
917,88.8469
918,88.9261
919,89.0052
920,89.0841
921,89.1628
922,89.2413
923,89.3196
924,89.3977
925,89.4757
926,89.5534
927,89.631
928,89.7084
929,89.7856
930,89.8626
931,89.9394
932,90.016
933,90.0924
934,90.1687
935,90.2447
936,90.3206
937,90.3963
938,90.4717
939,90.547
940,90.6156
941,90.6813
942,90.7467
943,90.8118
944,90.8765
945,90.9409
946,91.005
947,91.0687
948,91.1322
949,91.1953
950,91.2581
951,91.3205
952,91.3827
953,91.4445
954,91.5061
955,91.5673
956,91.6282
957,91.6888
958,91.7491
959,91.809
960,91.8687
961,91.9281
962,91.9872
963,92.0459
964,92.1044
965,92.1626
966,92.2204
967,92.278
968,92.3353
969,92.3826
970,92.4132
971,92.4437
972,92.474
973,92.5042
974,92.5343
975,92.5642
976,92.594
977,92.6236
978,92.6531
979,92.6825
980,92.7118
981,92.7409
982,92.7698
983,92.7987
984,92.8274
985,92.856
986,92.8844
987,92.9128
988,92.941
989,92.969
990,92.997
991,93.0248
992,93.0525
993,93.08
994,93.1075
995,93.1348
996,93.162
997,93.1891
998,93.216
999,93.2428
1000,93.269
1001,93.2908
1002,93.3126
1003,93.3342
1004,93.3558
1005,93.3773
1006,93.3987
1007,93.42
1008,93.4412
1009,93.4624
1010,93.4835
1011,93.5045
1012,93.5254
1013,93.5462
1014,93.567
1015,93.5876
1016,93.6082
1017,93.6287
1018,93.6492
1019,93.6695
1020,93.6898
1021,93.71
1022,93.7301
1023,93.7501
1024,93.7701
1025,93.79
1026,93.8098
1027,93.8295
1028,93.8492
1029,93.8688
1030,93.8883
1031,93.9077
1032,93.9271
1033,93.9464
1034,93.9641
1035,93.9815
1036,93.9987
1037,94.0159
1038,94.0331
1039,94.0502
1040,94.0672
1041,94.0842
1042,94.1011
1043,94.1179
1044,94.1347
1045,94.1514
1046,94.168
1047,94.1846
1048,94.2012
1049,94.2176
1050,94.2341
1051,94.2504
1052,94.2667
1053,94.283
1054,94.2992
1055,94.3153
1056,94.3313
1057,94.3474
1058,94.3633
1059,94.3792
1060,94.395
1061,94.4108
1062,94.4266
1063,94.4422
1064,94.4578
1065,94.4734
1066,94.4889
1067,94.5044
1068,94.5198
1069,94.5351
1070,94.5504
1071,94.5656
1072,94.5808
1073,94.5959
1074,94.611
1075,94.626
1076,94.641
1077,94.6559
1078,94.6708
1079,94.6856
1080,94.7003
1081,94.715
1082,94.7297
1083,94.7443
1084,94.7589
1085,94.7734
1086,94.7878
1087,94.8022
1088,94.8166
1089,94.8309
1090,94.8451
1091,94.8593
1092,94.8735
1093,94.8876
1094,94.9016
1095,94.9156
1096,94.9296
1097,94.9435
1098,94.9574
1099,94.9712
1100,94.985
1101,94.9987
1102,95.0124
1103,95.026
1104,95.0396
1105,95.0531
1106,95.0666
1107,95.08
1108,95.0934
1109,95.1068
1110,95.1201
1111,95.1333
1112,95.1466
1113,95.1597
1114,95.1729
1115,95.1859
1116,95.199
1117,95.212
1118,95.2249
1119,95.2378
