193 to 233 nm band,
JH calculations,
nm,%T
639,0.0027
640,0.0027
641,0.0027
642,0.0026
643,0.0026
644,0.0026
645,0.0026
646,0.0026
647,0.0026
648,0.0026
649,0.0026
650,0.0026
651,0.0026
652,0.0025
653,0.0025
654,0.0025
655,0.0025
656,0.0025
657,0.0025
658,0.0025
659,0.0025
660,0.0025
661,0.0025
662,0.0025
663,0.0025
664,0.0025
665,0.0025
666,0.0025
667,0.0025
668,0.0025
669,0.0025
670,0.0025
671,0.0025
672,0.0025
673,0.0024
674,0.0024
675,0.0024
676,0.0024
677,0.0024
678,0.0024
679,0.0024
680,0.0024
681,0.0024
682,0.0024
683,0.0024
684,0.0024
685,0.0024
686,0.0024
687,0.0024
688,0.0024
689,0.0024
690,0.0024
691,0.0024
692,0.0024
693,0.0024
694,0.0024
695,0.0024
696,0.0024
697,0.0024
698,0.0024
699,0.0024
700,0.0024
701,0.0024
702,0.0024
703,0.0024
704,0.0024
705,0.0024
706,0.0024
707,0.0024
708,0.0024
709,0.0024
710,0.0024
711,0.0024
712,0.0024
713,0.0024
714,0.0024
715,0.0024
716,0.0024
717,0.0024
718,0.0024
719,0.0024
720,0.0024
721,0.0024
722,0.0024
723,0.0024
724,0.0024
725,0.0024
726,0.0024
727,0.0024
728,0.0024
729,0.0024
730,0.0024
731,0.0024
732,0.0024
733,0.0024
734,0.0024
735,0.0024
736,0.0024
737,0.0025
738,0.0025
739,0.0025
740,0.0025
741,0.0025
742,0.0025
743,0.0025
744,0.0025
745,0.0026
746,0.0026
747,0.0026
748,0.0026
749,0.0026
750,0.0026
751,0.0026
752,0.0027
753,0.0027
754,0.0027
755,0.0027
756,0.0027
757,0.0027
758,0.0027
759,0.0027
760,0.0028
761,0.0028
762,0.0028
763,0.0028
764,0.0028
765,0.0028
766,0.0028
767,0.0028
768,0.0029
769,0.0029
770,0.0029
771,0.0029
772,0.0029
773,0.0029
774,0.0029
775,0.003
776,0.003
777,0.0031
778,0.0031
779,0.0032
780,0.0032
781,0.0033
782,0.0033
783,0.0034
784,0.0034
785,0.0035
786,0.0035
787,0.0036
788,0.0037
789,0.0037
790,0.0038
791,0.0038
792,0.0039
793,0.004
794,0.004
795,0.0041
796,0.0042
797,0.0042
798,0.0043
799,0.0044
800,0.0045
801,0.0046
802,0.0047
803,0.0048
804,0.0049
805,0.005
806,0.0051
807,0.0052
808,0.0052
809,0.0054
810,0.0055
811,0.0056
812,0.0057
813,0.0058
814,0.0059
815,0.006
816,0.0061
817,0.0062
818,0.0063
819,0.0064
820,0.0065
821,0.0066
822,0.0067
823,0.0068
824,0.0069
825,0.007
826,0.0071
827,0.0073
828,0.0074
829,0.0075
830,0.0076
831,0.0077
832,0.0078
833,0.008
834,0.0081
835,0.0082
836,0.0083
837,0.0085
838,0.0086
839,0.0087
840,0.0089
841,0.009
842,0.0091
843,0.0093
844,0.0094
845,0.0096
846,0.0097
847,0.0098
848,0.01
849,0.0101
850,0.0103
851,0.0104
852,0.0106
853,0.0108
854,0.0109
855,0.0111
856,0.0112
857,0.0114
858,0.0116
859,0.0117
860,0.0119
861,0.0121
862,0.0123
863,0.0124
864,0.0126
865,0.0128
866,0.013
867,0.0132
868,0.0134
869,0.0136
870,0.0138
871,0.014
872,0.0142
873,0.0144
874,0.0146
875,0.0148
876,0.015
877,0.0152
878,0.0154
879,0.0156
880,0.0158
881,0.0161
882,0.0163
883,0.0165
884,0.0167
885,0.017
886,0.0171
887,0.0172
888,0.0173
889,0.0173
890,0.0174
891,0.0174
892,0.0175
893,0.0176
894,0.0176
895,0.0177
896,0.0177
897,0.0178
898,0.0179
899,0.0179
900,0.018
901,0.018
902,0.0181
903,0.0182
904,0.0182
905,0.0183
906,0.0183
907,0.0184
908,0.0184
909,0.0185
910,0.0186
911,0.0186
912,0.0186
913,0.0186
914,0.0186
915,0.0186
916,0.0186
917,0.0185
918,0.0185
919,0.0185
920,0.0185
921,0.0184
922,0.0184
923,0.0184
924,0.0184
925,0.0183
926,0.0183
927,0.0183
928,0.0182
929,0.0182
930,0.0182
931,0.0182
932,0.0181
933,0.0181
934,0.0181
935,0.0181
936,0.018
937,0.018
938,0.018
939,0.0179
940,0.0178
941,0.0176
942,0.0175
943,0.0173
944,0.0172
945,0.017
946,0.0168
947,0.0167
948,0.0165
949,0.0164
950,0.0162
951,0.0161
952,0.0159
953,0.0158
954,0.0156
955,0.0155
956,0.0153
957,0.0152
958,0.015
959,0.0149
960,0.0147
961,0.0146
962,0.0145
963,0.0143
964,0.0142
965,0.0141
966,0.0139
967,0.0138
968,0.0137
969,0.0136
970,0.0135
971,0.0134
972,0.0132
973,0.0131
974,0.013
975,0.0129
976,0.0128
977,0.0127
978,0.0126
979,0.0125
980,0.0124
981,0.0124
982,0.0123
983,0.0122
984,0.0121
985,0.012
986,0.0119
987,0.0118
988,0.0117
989,0.0116
990,0.0115
991,0.0114
992,0.0114
993,0.0113
994,0.0112
995,0.0111
996,0.011
997,0.0109
998,0.0108
999,0.0108
1000,0.0107
1001,0.0106
1002,0.0106
1003,0.0105
1004,0.0104
1005,0.0104
1006,0.0103
1007,0.0103
1008,0.0102
1009,0.0102
1010,0.0101
1011,0.0101
1012,0.01
1013,0.0099
1014,0.0099
1015,0.0098
1016,0.0098
1017,0.0097
1018,0.0097
1019,0.0096
1020,0.0096
1021,0.0095
1022,0.0095
1023,0.0094
1024,0.0094
1025,0.0093
1026,0.0093
1027,0.0092
1028,0.0092
1029,0.0091
1030,0.0091
1031,0.009
1032,0.009
1033,0.0089
1034,0.0089
1035,0.0088
1036,0.0088
1037,0.0087
1038,0.0087
1039,0.0087
1040,0.0086
1041,0.0086
1042,0.0085
1043,0.0085
1044,0.0085
1045,0.0084
1046,0.0084
1047,0.0083
1048,0.0083
1049,0.0083
1050,0.0082
1051,0.0082
1052,0.0081
1053,0.0081
1054,0.0081
1055,0.008
1056,0.008
1057,0.0079
1058,0.0079
1059,0.0079
1060,0.0078
1061,0.0078
1062,0.0078
1063,0.0077
1064,0.0077
1065,0.0076
1066,0.0076
1067,0.0076
1068,0.0075
1069,0.0075
1070,0.0075
1071,0.0074
1072,0.0074
1073,0.0074
1074,0.0073
1075,0.0073
1076,0.0073
1077,0.0072
1078,0.0072
1079,0.0072
1080,0.0071
1081,0.0071
1082,0.0071
1083,0.007
1084,0.007
1085,0.007
1086,0.0069
1087,0.0069
1088,0.0069
1089,0.0068
1090,0.0068
1091,0.0068
1092,0.0067
1093,0.0067
1094,0.0067
1095,0.0067
1096,0.0066
1097,0.0066
1098,0.0066
1099,0.0065
1100,0.0065
