nm,front surface transmssion,substrate transmission,predicted QE (%)
160,25.7867,0,25.7867
161,27.0233,0,27.0233
162,28.3157,0,28.3157
163,29.6614,0,29.6614
164,31.0465,0,31.0465
165,32.473,0,32.473
166,33.9554,0,33.9554
167,35.4758,0,35.4758
168,37.0114,0,37.0114
169,38.5558,0,38.5558
170,40.0983,0,40.0983
171,41.6255,0,41.6255
172,43.1758,0,43.1758
173,44.6809,0,44.6809
174,46.1414,0,46.1414
175,47.5504,0,47.5504
176,48.9055,0,48.9055
177,50.2017,0,50.2017
178,51.4503,0,51.4503
179,52.622,0,52.622
180,53.7202,0,53.7202
181,54.7419,0,54.7419
182,55.6822,0,55.6822
183,56.5366,0,56.5366
184,57.3255,0,57.3255
185,58.0632,0,58.0632
186,58.7221,0,58.7221
187,59.3058,0,59.3058
188,59.8232,0,59.8232
189,60.275,0,60.275
190,60.6562,0,60.6562
191,60.9784,0,60.9784
192,61.2396,0,61.2396
193,61.444,0,61.444
194,61.6026,0,61.6026
195,61.7178,0,61.7178
196,61.7894,0,61.7894
197,61.8229,0,61.8229
198,61.8206,0,61.8206
199,61.8004,0,61.8004
200,61.7614,0,61.7614
201,61.693,0,61.693
202,61.6003,0,61.6003
203,61.4846,0,61.4846
204,61.3444,0,61.3444
205,61.1836,0,61.1836
206,61.0033,0,61.0033
207,60.8299,0,60.8299
208,60.6732,0,60.6732
209,60.4436,0,60.4436
210,60.2565,0,60.2565
211,60.0267,0,60.0267
212,59.817,0,59.817
213,59.5641,0,59.5641
214,59.3165,0,59.3165
215,59.0842,0,59.0842
216,58.9,0,58.9
217,58.6333,0,58.6333
218,58.3522,0,58.3522
219,58.1299,0,58.1299
220,57.9373,0,57.9373
221,57.6909,0,57.6909
222,57.5207,0,57.5207
223,57.3412,0,57.3412
224,57.2466,0,57.2466
225,57.1684,0,57.1684
226,57.0835,0,57.0835
227,57.1,0,57.1
228,57.1444,0,57.1444
229,57.3175,0,57.3175
230,57.5539,0,57.5539
231,57.8461,0,57.8461
232,58.1089,0,58.1089
233,58.3426,0,58.3426
234,58.4995,0,58.4995
235,58.5322,0,58.5322
236,58.4427,0,58.4427
237,58.2434,0,58.2434
238,57.9453,0,57.9453
239,57.5663,0,57.5663
240,57.1092,0,57.1092
241,56.6193,0,56.6193
242,56.0404,0,56.0404
243,55.4201,0,55.4201
244,54.8371,0,54.8371
245,54.1498,0,54.1498
246,53.4936,0,53.4936
247,52.8372,0,52.8372
248,52.1366,0,52.1366
249,51.486,0,51.486
250,50.8267,0,50.8267
251,50.0967,0,50.0967
252,49.4038,0,49.4038
253,48.692,0,48.692
254,48.1072,0,48.1072
255,47.394,0,47.394
256,46.7506,0,46.7506
257,46.083,0,46.083
258,45.4335,0,45.4335
259,44.792,0,44.792
260,44.1479,0,44.1479
261,43.4957,0,43.4957
262,42.8526,0,42.8526
263,42.2274,0,42.2274
264,41.5929,0,41.5929
265,40.9587,0,40.9587
266,40.3995,0,40.3995
267,39.8337,0,39.8337
268,39.3393,0,39.3393
269,38.8686,0,38.8686
270,38.4674,0,38.4674
271,38.1542,0,38.1542
272,37.9027,0,37.9027
273,37.7293,0,37.7293
274,37.647,0,37.647
275,37.6205,0,37.6205
276,37.6346,0,37.6346
277,37.6792,0,37.6792
278,37.7731,0,37.7731
279,37.9044,0,37.9044
280,38.0317,0,38.0317
281,38.1632,0,38.1632
282,38.3012,0,38.3012
283,38.4427,0,38.4427
284,38.5905,0,38.5905
285,38.7771,0,38.7771
286,39.0075,0,39.0075
287,39.2796,0,39.2796
288,39.789,0,39.789
289,40.3676,0,40.3676
290,41.023,0,41.023
291,41.8071,0,41.8071
292,42.5865,0,42.5865
293,43.3444,0,43.3444
294,44.0838,0,44.0838
295,44.7951,0,44.7951
296,45.4516,0,45.4516
297,46.0665,0,46.0665
298,46.6423,0,46.6423
299,47.1232,0,47.1232
300,47.5751,0,47.5751
301,47.9997,0,47.9997
302,48.422,0,48.422
303,48.7935,0,48.7935
304,49.1317,0,49.1317
305,49.4693,0,49.4693
306,49.7471,0,49.7471
307,49.9983,0,49.9983
308,50.2391,0,50.2391
309,50.454,0,50.454
310,50.6523,0,50.6523
311,50.8386,0,50.8386
312,51.0031,0,51.0031
313,51.1459,0,51.1459
314,51.2783,0,51.2783
315,51.4011,0,51.4011
316,51.5042,0,51.5042
317,51.5974,0,51.5974
318,51.685,0,51.685
319,51.7566,0,51.7566
320,51.8193,0,51.8193
321,51.8731,0,51.8731
322,51.9159,0,51.9159
323,51.9548,0,51.9548
324,51.985,0,51.985
325,52.0112,0,52.0112
326,52.0316,0,52.0316
327,52.0478,0,52.0478
328,52.062,0,52.062
329,52.0643,0,52.0643
330,52.0621,0,52.0621
331,52.0495,0,52.0495
332,52.0362,0,52.0362
333,52.0222,0,52.0222
334,51.9965,0,51.9965
335,51.966,0,51.966
336,51.9277,0,51.9277
337,51.8876,0,51.8876
338,51.8406,0,51.8406
339,51.7903,0,51.7903
340,51.7267,0,51.7267
341,51.6587,0,51.6587
342,51.5841,0,51.5841
343,51.4985,0,51.4985
344,51.4019,0,51.4019
345,51.2922,0,51.2922
346,51.1741,0,51.1741
347,51.0398,0,51.0398
348,50.8991,0,50.8991
349,50.7301,0,50.7301
