24 0.00035894 44.4949 458597 -13.2646 -12.6964 -12.0864 -11.6746 -11.2964 -14.0346 -12.6964 -12.3446 -12.1764 -11.9864 -15.3459 -15.0459 -14.6859 -10.6877 -10.5777 -10.5177 -10.3259
25 0.000378572 44.4764 445756 -13.2594 -12.6953 -12.0853 -11.6694 -11.2953 -14.0294 -12.6953 -12.3394 -12.1753 -11.9853 -15.39 -15.09 -14.73 -10.7359 -10.6259 -10.5659 -10.37
26 0.000399277 44.4579 433275 -13.253 -12.6929 -12.0829 -11.663 -11.2929 -14.023 -12.6929 -12.333 -12.1729 -11.9829 -15.4315 -15.1315 -14.7715 -10.7814 -10.6714 -10.6114 -10.4115
27 0.000421114 44.4394 421143 -13.2563 -12.6923 -12.0823 -11.6663 -11.2923 -14.0263 -12.6923 -12.3363 -12.1723 -11.9863 -15.4765 -15.1765 -14.8165 -10.8265 -10.7165 -10.6606 -10.4606
28 0.000444146 44.4209 409351 -13.2586 -12.6905 -12.0805 -11.6686 -11.2905 -14.0286 -12.6905 -12.3386 -12.1705 -11.9886 -15.5192 -15.2192 -14.8592 -10.8692 -10.7592 -10.7073 -10.5073
29 0.000468438 44.4024 397889 -13.2612 -12.6912 -12.0833 -11.6712 -11.2933 -14.0312 -12.6912 -12.3412 -12.1712 -11.9912 -15.5625 -15.2625 -14.9025 -10.9147 -10.8047 -10.7525 -10.5547
30 0.000494058 44.3839 386748 -13.2641 -12.6941 -12.0903 -11.6741 -11.3003 -14.0341 -12.6941 -12.3441 -12.1741 -11.9941 -15.6064 -15.3064 -14.9464 -10.9626 -10.8526 -10.7964 -10.6026
31 0.000521079 44.3654 375919 -13.2658 -12.696 -12.096 -11.676 -11.306 -14.0358 -12.696 -12.346 -12.176 -11.996 -15.648 -15.348 -14.988 -11.008 -10.898 -10.8383 -10.648
32 0.000549579 44.3469 365393 -13.2693 -12.7037 -12.1037 -11.6837 -11.3137 -14.0393 -12.7037 -12.3537 -12.1837 -12.0037 -15.693 -15.393 -15.033 -11.053 -10.943 -10.8874 -10.693
33 0.000579636 44.3284 355162 -13.2714 -12.7098 -12.1098 -11.6898 -11.3198 -14.0414 -12.7098 -12.3598 -12.1898 -12.0098 -15.7355 -15.4355 -15.0755 -11.0955 -10.9855 -10.9339 -10.7355
34 0.000611338 44.3099 345218 -13.2792 -12.7192 -12.1167 -11.6992 -11.3292 -14.0492 -12.7192 -12.3692 -12.1992 -12.0192 -15.7767 -15.4792 -15.1192 -11.1416 -11.0316 -10.9816 -10.7816
35 0.000644774 44.2914 335552 -13.2901 -12.7301 -12.1236 -11.7101 -11.3401 -14.0601 -12.7301 -12.3801 -12.2101 -12.0301 -15.8162 -15.5228 -15.1628 -11.1893 -11.0793 -11.0293 -10.8293
