nm,front surface transmssion,substrate transmission,predicted QE (%)
556,81.802,0.0006,81.8014
557,81.7654,0.0004,81.765
558,81.7291,0.0003,81.7288
559,81.6854,0.0003,81.6851
560,81.6342,0.0004,81.6338
561,81.5834,0.0006,81.5828
562,81.533,0.0009,81.5321
563,81.4829,0.0014,81.4815
564,81.4373,0.0018,81.4355
565,81.3985,0.0016,81.3969
566,81.36,0.0014,81.3586
567,81.3219,0.0013,81.3206
568,81.2842,0.0011,81.2831
569,81.2438,0.0011,81.2427
570,81.1968,0.0015,81.1953
571,81.1501,0.0019,81.1482
572,81.1038,0.0025,81.1013
573,81.0578,0.0033,81.0545
574,81.0121,0.0043,81.0078
575,80.9689,0.0052,80.9637
576,80.9259,0.0063,80.9196
577,80.8833,0.0077,80.8756
578,80.8411,0.0094,80.8317
579,80.7991,0.0114,80.7877
580,80.7608,0.0112,80.7496
581,80.7249,0.0095,80.7154
582,80.6894,0.0081,80.6813
583,80.6541,0.0068,80.6473
584,80.6192,0.0058,80.6134
585,80.5839,0.0051,80.5788
586,80.5457,0.0052,80.5405
587,80.5078,0.0053,80.5025
588,80.4702,0.0054,80.4648
589,80.4329,0.0054,80.4275
590,80.3959,0.0055,80.3904
591,80.3565,0.0062,80.3503
592,80.3156,0.0075,80.3081
593,80.2749,0.009,80.2659
594,80.2345,0.0107,80.2238
595,80.1945,0.0129,80.1816
596,80.1547,0.0154,80.1393
597,80.1159,0.0175,80.0984
598,80.0775,0.0198,80.0577
599,80.0394,0.0224,80.017
600,80.0016,0.0253,79.9763
601,79.9652,0.0285,79.9367
602,79.9291,0.0318,79.8973
603,79.8939,0.0323,79.8616
604,79.8589,0.0327,79.8262
605,79.8242,0.0331,79.7911
606,79.7898,0.0335,79.7563
607,79.7556,0.0339,79.7217
608,79.7217,0.0347,79.687
609,79.688,0.037,79.651
610,79.6545,0.0394,79.6151
611,79.6213,0.042,79.5793
612,79.5884,0.0447,79.5437
613,79.5557,0.0476,79.5081
614,79.5227,0.0512,79.4715
615,79.4882,0.0573,79.4309
616,79.4539,0.0641,79.3898
617,79.4199,0.0716,79.3483
618,79.3861,0.08,79.3061
619,79.3525,0.0893,79.2632
620,79.3195,0.0988,79.2207
621,79.289,0.0998,79.1892
622,79.2588,0.1008,79.158
623,79.2288,0.1019,79.1269
624,79.1991,0.1029,79.0962
625,79.1696,0.104,79.0656
626,79.1403,0.1051,79.0352
627,79.1071,0.1188,78.9883
628,79.0731,0.1381,78.935
629,79.0393,0.1605,78.8788
630,79.0058,0.1864,78.8194
631,78.9724,0.2164,78.756
632,78.9393,0.2511,78.6882
