nm,%R,,,
470,88.2151,,,
471,88.2208,,,
472,88.2265,,,
473,88.2325,,,
474,88.2385,,,
475,88.2447,,,
476,88.251,,,
477,88.2569,,,
478,88.2599,,,
479,88.263,,,
480,88.2663,,,
481,88.2697,,,
482,88.2733,,,
483,88.277,,,
484,88.2808,,,
485,88.2848,,,
486,88.2889,,,
487,88.2931,,,
488,88.2975,,,
489,88.302,,,
490,88.3066,,,
491,88.3113,,,
492,88.3161,,,
493,88.3211,,,
494,88.3262,,,
495,88.3313,,,
496,88.3366,,,
497,88.342,,,
498,88.3475,,,
499,88.3531,,,
500,88.3588,,,
501,88.3646,,,
502,88.3705,,,
503,88.3765,,,
504,88.3825,,,
505,88.3887,,,
506,88.3949,,,
507,88.4013,,,
508,88.4077,,,
509,88.4142,,,
510,88.4208,,,
511,88.4275,,,
512,88.4342,,,
513,88.4411,,,
514,88.448,,,
515,88.455,,,
516,88.462,,,
517,88.4662,,,
518,88.4661,,,
519,88.4662,,,
520,88.4663,,,
521,88.4666,,,
522,88.4671,,,
523,88.4677,,,
524,88.4684,,,
525,88.4692,,,
526,88.4702,,,
527,88.4712,,,
528,88.4724,,,
529,88.4738,,,
530,88.4752,,,
531,88.4768,,,
532,88.4784,,,
533,88.4802,,,
534,88.4821,,,
535,88.4841,,,
536,88.4862,,,
537,88.4884,,,
538,88.4907,,,
539,88.4931,,,
540,88.4957,,,
541,88.4983,,,
542,88.501,,,
543,88.5038,,,
544,88.5067,,,
545,88.5097,,,
546,88.5128,,,
547,88.516,,,
548,88.5192,,,
549,88.5226,,,
550,88.526,,,
551,88.5295,,,
552,88.5331,,,
553,88.5368,,,
554,88.5406,,,
555,88.5444,,,
556,88.5483,,,
557,88.5523,,,
558,88.5564,,,
559,88.5606,,,
560,88.5648,,,
561,88.5691,,,
562,88.5734,,,
563,88.5779,,,
564,88.5778,,,
565,88.5717,,,
566,88.5658,,,
567,88.56,,,
568,88.5544,,,
569,88.549,,,
570,88.5436,,,
571,88.5385,,,
572,88.5335,,,
573,88.5286,,,
574,88.5238,,,
575,88.5192,,,
576,88.5147,,,
577,88.5104,,,
578,88.5062,,,
579,88.5021,,,
580,88.4982,,,
581,88.4944,,,
582,88.4907,,,
583,88.4872,,,
584,88.4837,,,
585,88.4804,,,
586,88.4772,,,
587,88.4742,,,
588,88.4712,,,
589,88.4684,,,
590,88.4656,,,
591,88.463,,,
592,88.4605,,,
593,88.4582,,,
594,88.4559,,,
595,88.4537,,,
596,88.4517,,,
597,88.4497,,,
598,88.4479,,,
599,88.4461,,,
600,88.4445,,,
601,88.4429,,,
602,88.4415,,,
603,88.4402,,,
604,88.4389,,,
605,88.4378,,,
606,88.4367,,,
607,88.4357,,,
608,88.4349,,,
609,88.4341,,,
610,88.4334,,,
611,88.4328,,,
612,88.4323,,,
613,88.4319,,,
614,88.4315,,,
615,88.4313,,,
616,88.4311,,,
617,88.431,,,
618,88.431,,,
619,88.4311,,,
620,88.4305,,,
621,88.4197,,,
622,88.409,,,
623,88.3985,,,
624,88.3881,,,
625,88.3779,,,
626,88.3679,,,
627,88.358,,,
628,88.3482,,,
629,88.3386,,,
630,88.3291,,,
631,88.3198,,,
632,88.3106,,,
633,88.3016,,,
634,88.2927,,,
635,88.2839,,,
636,88.2753,,,
637,88.2668,,,
638,88.2584,,,
639,88.2502,,,
640,88.2421,,,
641,88.2342,,,
642,88.2263,,,
643,88.2186,,,
644,88.211,,,
645,88.2036,,,
646,88.1962,,,
647,88.189,,,
648,88.1819,,,
649,88.175,,,
650,88.1681,,,
651,88.1614,,,
652,88.1548,,,
653,88.1422,,,
654,88.1278,,,
655,88.1136,,,
656,88.0995,,,
657,88.0856,,,
658,88.0718,,,
659,88.0581,,,
660,88.0446,,,
661,88.0312,,,
662,88.018,,,
663,88.005,,,
664,87.992,,,
665,87.9792,,,
666,87.9666,,,
667,87.9541,,,
668,87.9417,,,
669,87.9294,,,
670,87.9173,,,
671,87.9054,,,
672,87.8935,,,
673,87.8818,,,
674,87.8702,,,
675,87.8588,,,
676,87.8475,,,
677,87.8363,,,
678,87.8252,,,
679,87.8142,,,
680,87.8034,,,
681,87.7927,,,
682,87.7821,,,
683,87.7717,,,
684,87.7613,,,
685,87.7511,,,
686,87.741,,,
687,87.731,,,
688,87.7212,,,
689,87.7094,,,
690,87.6892,,,
691,87.6692,,,
692,87.6493,,,
693,87.6296,,,
694,87.61,,,
695,87.5906,,,
696,87.5714,,,
697,87.5523,,,
698,87.5334,,,
699,87.5146,,,
700,87.496,,,
701,87.4775,,,
702,87.4592,,,
703,87.441,,,
704,87.423,,,
705,87.4051,,,
706,87.3873,,,
707,87.3697,,,
708,87.3523,,,
709,87.335,,,
710,87.3178,,,
711,87.3008,,,
712,87.2839,,,
713,87.2671,,,
714,87.2505,,,
715,87.234,,,
716,87.2177,,,
717,87.2015,,,
718,87.1854,,,
719,87.1695,,,
720,87.1537,,,
721,87.138,,,
722,87.1225,,,
723,87.1071,,,
724,87.0918,,,
725,87.0766,,,
726,87.0616,,,
727,87.0467,,,
728,87.0319,,,
729,87.0173,,,
730,86.9885,,,
731,86.9533,,,
732,86.9182,,,
733,86.8833,,,
734,86.8485,,,
735,86.8139,,,
736,86.7795,,,
737,86.7452,,,
738,86.7111,,,
739,86.6772,,,
740,86.6434,,,
741,86.6098,,,
742,86.5764,,,
743,86.5431,,,
744,86.51,,,
745,86.477,,,
746,86.4442,,,
747,86.4116,,,
748,86.3791,,,
749,86.3467,,,
750,86.3146,,,
751,86.2825,,,
752,86.2507,,,
753,86.219,,,
754,86.1874,,,
755,86.156,,,
756,86.1247,,,
757,86.0936,,,
758,86.0627,,,
759,86.0319,,,
760,86.0013,,,
761,85.9708,,,
762,85.9404,,,
763,85.9102,,,
764,85.8802,,,
765,85.8503,,,
766,85.8205,,,
767,85.7909,,,
768,85.7615,,,
769,85.7322,,,
770,85.703,,,
771,85.674,,,
772,85.6451,,,
773,85.6164,,,
774,85.5878,,,
775,85.558,,,
776,85.5153,,,
777,85.4726,,,
778,85.4299,,,
779,85.3872,,,
780,85.3445,,,
781,85.3018,,,
782,85.2591,,,
783,85.2165,,,
784,85.1738,,,
785,85.1312,,,
786,85.0886,,,
787,85.046,,,
788,85.0034,,,
789,84.9608,,,
790,84.9183,,,
791,84.8757,,,
792,84.8332,,,
793,84.7907,,,
794,84.7482,,,
795,84.7119,,,
796,84.6975,,,
797,84.6831,,,
798,84.6687,,,
799,84.6542,,,
800,84.6397,,,
801,84.6251,,,
802,84.6105,,,
803,84.5958,,,
804,84.5812,,,
805,84.5664,,,
806,84.5517,,,
807,84.5369,,,
808,84.522,,,
809,84.5071,,,
810,84.4922,,,
811,84.4772,,,
812,84.4622,,,
813,84.4472,,,
814,84.4321,,,
815,84.417,,,
816,84.4089,,,
817,84.4165,,,
818,84.424,,,
819,84.4316,,,
820,84.4392,,,
821,84.4467,,,
822,84.4543,,,
823,84.4618,,,
824,84.4693,,,
825,84.4769,,,
826,84.4844,,,
827,84.4919,,,
828,84.4994,,,
829,84.5069,,,
830,84.5144,,,
831,84.5219,,,
832,84.5294,,,
833,84.5369,,,
834,84.5444,,,
835,84.5518,,,
836,84.5593,,,
837,84.5668,,,
838,84.5813,,,
839,84.6162,,,
840,84.6512,,,
841,84.6862,,,
842,84.7213,,,
843,84.7564,,,
844,84.7916,,,
845,84.8269,,,
846,84.8623,,,
847,84.8977,,,
848,84.9332,,,
849,84.9687,,,
850,85.0044,,,
851,85.04,,,
852,85.0758,,,
853,85.1116,,,
854,85.1475,,,
855,85.1835,,,
856,85.2195,,,
857,85.2556,,,
858,85.2918,,,
859,85.3281,,,
860,85.3644,,,
861,85.4007,,,
862,85.4372,,,
863,85.4737,,,
864,85.5103,,,
865,85.547,,,
866,85.5837,,,
867,85.6205,,,
868,85.6574,,,
869,85.6944,,,
870,85.7314,,,
871,85.7685,,,
872,85.8056,,,
873,85.8429,,,
874,85.8802,,,
875,85.9176,,,
876,85.955,,,
877,85.9926,,,
878,86.0302,,,
879,86.0678,,,
880,86.1056,,,
881,86.1434,,,
882,86.1813,,,
883,86.2193,,,
884,86.2573,,,
885,86.2954,,,
886,86.3496,,,
887,86.4288,,,
888,86.5079,,,
889,86.587,,,
890,86.666,,,
891,86.745,,,
892,86.8239,,,
893,86.9028,,,
894,86.9817,,,
895,87.0605,,,
896,87.1392,,,
897,87.2179,,,
898,87.2966,,,
899,87.3752,,,
900,87.4537,,,
901,87.5322,,,
902,87.6106,,,
903,87.689,,,
904,87.7673,,,
905,87.8456,,,
906,87.9238,,,
907,88.002,,,
908,88.08,,,
909,88.1581,,,
910,88.236,,,
911,88.3139,,,
912,88.3928,,,
913,88.4735,,,
914,88.554,,,
915,88.6343,,,
916,88.7144,,,
917,88.7944,,,
918,88.8742,,,
919,88.9538,,,
920,89.0332,,,
921,89.1124,,,
922,89.1915,,,
923,89.2703,,,
924,89.349,,,
925,89.4275,,,
926,89.5058,,,
927,89.584,,,
928,89.6619,,,
929,89.7397,,,
930,89.8172,,,
931,89.8946,,,
932,89.9718,,,
933,90.0488,,,
934,90.1256,,,
935,90.2023,,,
936,90.2787,,,
937,90.355,,,
938,90.431,,,
939,90.5069,,,
940,90.5761,,,
941,90.6424,,,
942,90.7084,,,
943,90.774,,,
944,90.8393,,,
945,90.9043,,,
946,90.969,,,
947,91.0333,,,
948,91.0973,,,
949,91.161,,,
950,91.2243,,,
951,91.2873,,,
952,91.35,,,
953,91.4124,,,
954,91.4745,,,
955,91.5362,,,
956,91.5977,,,
957,91.6588,,,
958,91.7196,,,
959,91.7801,,,
960,91.8402,,,
961,91.9001,,,
962,91.9597,,,
963,92.0189,,,
964,92.0779,,,
965,92.1365,,,
966,92.1949,,,
967,92.2529,,,
968,92.3107,,,
969,92.3583,,,
970,92.3892,,,
971,92.4199,,,
972,92.4505,,,
973,92.481,,,
974,92.5113,,,
975,92.5415,,,
976,92.5715,,,
977,92.6014,,,
978,92.6311,,,
979,92.6607,,,
980,92.6902,,,
981,92.7196,,,
982,92.7488,,,
983,92.7778,,,
984,92.8068,,,
985,92.8356,,,
986,92.8643,,,
987,92.8928,,,
988,92.9212,,,
989,92.9495,,,
990,92.9777,,,
991,93.0057,,,
992,93.0336,,,
993,93.0614,,,
994,93.089,,,
995,93.1166,,,
996,93.1439,,,
997,93.1712,,,
998,93.1984,,,
999,93.2254,,,
1000,93.2517,,,
1001,93.2737,,,
1002,93.2956,,,
1003,93.3174,,,
1004,93.3392,,,
1005,93.3608,,,
1006,93.3824,,,
1007,93.4038,,,
1008,93.4252,,,
1009,93.4465,,,
1010,93.4678,,,
1011,93.4889,,,
1012,93.51,,,
1013,93.5309,,,
1014,93.5518,,,
1015,93.5727,,,
1016,93.5934,,,
1017,93.614,,,
1018,93.6346,,,
1019,93.6551,,,
1020,93.6755,,,
1021,93.6958,,,
1022,93.7161,,,
1023,93.7363,,,
1024,93.7564,,,
1025,93.7764,,,
1026,93.7963,,,
1027,93.8162,,,
1028,93.836,,,
1029,93.8557,,,
1030,93.8753,,,
1031,93.8949,,,
1032,93.9144,,,
1033,93.9338,,,
1034,93.9517,,,
1035,93.9691,,,
1036,93.9865,,,
1037,94.0038,,,
1038,94.0211,,,
1039,94.0383,,,
1040,94.0554,,,
1041,94.0725,,,
1042,94.0895,,,
1043,94.1064,,,
1044,94.1233,,,
1045,94.1401,,,
1046,94.1569,,,
1047,94.1736,,,
1048,94.1902,,,
1049,94.2068,,,
1050,94.2233,,,
1051,94.2398,,,
1052,94.2562,,,
1053,94.2725,,,
1054,94.2888,,,
1055,94.305,,,
1056,94.3212,,,
1057,94.3373,,,
1058,94.3534,,,
1059,94.3694,,,
1060,94.3853,,,
1061,94.4012,,,
1062,94.417,,,
1063,94.4328,,,
1064,94.4485,,,
1065,94.4641,,,
1066,94.4797,,,
1067,94.4953,,,
1068,94.5107,,,
1069,94.5262,,,
1070,94.5415,,,
1071,94.5569,,,
1072,94.5721,,,
1073,94.5873,,,
1074,94.6025,,,
1075,94.6176,,,
1076,94.6327,,,
1077,94.6477,,,
1078,94.6626,,,
1079,94.6775,,,
1080,94.6923,,,
1081,94.7071,,,
1082,94.7219,,,
1083,94.7366,,,
1084,94.7512,,,
1085,94.7658,,,
1086,94.7803,,,
1087,94.7948,,,
1088,94.8092,,,
1089,94.8236,,,
1090,94.8379,,,
1091,94.8522,,,
1092,94.8664,,,
1093,94.8806,,,
1094,94.8947,,,
1095,94.9088,,,
1096,94.9229,,,
1097,94.9369,,,
1098,94.9508,,,
1099,94.9647,,,
1100,94.9785,,,
1101,94.9923,,,
1102,95.0061,,,
1103,95.0198,,,
1104,95.0334,,,
1105,95.047,,,
1106,95.0606,,,
1107,95.0741,,,
1108,95.0875,,,
1109,95.101,,,
1110,95.1143,,,
1111,95.1277,,,
1112,95.1409,,,
1113,95.1542,,,
1114,95.1674,,,
1115,95.1805,,,
1116,95.1936,,,
1117,95.2067,,,
1118,95.2197,,,
1119,95.2327,,,
1120,95.2456,,,
1121,95.2585,,,
1122,95.2713,,,
1123,95.2841,,,
1124,95.2968,,,
1125,95.3095,,,
1126,95.3222,,,
1127,95.3348,,,
1128,95.3453,,,
1129,95.3556,,,
1130,95.3658,,,
1131,95.376,,,
1132,95.3861,,,
1133,95.3963,,,
1134,95.4063,,,
1135,95.4164,,,
1136,95.4264,,,
1137,95.4364,,,
1138,95.4464,,,
1139,95.4563,,,
1140,95.4662,,,
1141,95.4761,,,
1142,95.4859,,,
1143,95.4957,,,
1144,95.5055,,,
1145,95.5152,,,
1146,95.5249,,,
1147,95.5346,,,
1148,95.5443,,,
1149,95.5539,,,
1150,95.5635,,,
1151,95.573,,,
1152,95.5826,,,
1153,95.5921,,,
1154,95.6015,,,
1155,95.611,,,
1156,95.6204,,,
1157,95.6298,,,
1158,95.6391,,,
1159,95.6484,,,
1160,95.6577,,,
1161,95.667,,,
1162,95.6762,,,
1163,95.6854,,,
1164,95.6946,,,
1165,95.7038,,,
1166,95.7129,,,
1167,95.722,,,
1168,95.7311,,,
1169,95.7401,,,
1170,95.7491,,,
1171,95.7581,,,
1172,95.767,,,
1173,95.776,,,
1174,95.7849,,,
1175,95.7937,,,
1176,95.8026,,,
1177,95.8114,,,
1178,95.8202,,,
1179,95.829,,,
1180,95.8377,,,
1181,95.8464,,,
1182,95.8551,,,
1183,95.8638,,,
1184,95.8724,,,
1185,95.881,,,
1186,95.8896,,,
1187,95.8981,,,
1188,95.9067,,,
1189,95.9152,,,
1190,95.9237,,,
1191,95.9321,,,
1192,95.9405,,,
1193,95.9489,,,
1194,95.9573,,,
1195,95.9657,,,
1196,95.974,,,
1197,95.9823,,,
1198,95.9906,,,
1199,95.9988,,,
1200,96.007,,,
