model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
379,52.2297,0,52.2297
380,52.5635,0,52.5635
381,52.8828,0,52.8828
382,53.1966,0,53.1966
383,53.5094,0,53.5094
384,53.8209,0,53.8209
385,54.1335,0,54.1335
386,54.3985,0,54.3985
387,54.6648,0,54.6648
388,54.9268,0,54.9268
389,55.1848,0,55.1848
390,55.4412,0,55.4412
391,55.6706,0,55.6706
392,55.9016,0,55.9016
393,56.1222,0,56.1222
394,56.3363,0,56.3363
395,56.5499,0,56.5499
396,56.7469,0,56.7469
397,56.9454,0,56.9454
398,57.1314,0,57.1314
399,57.3097,0,57.3097
400,57.4895,0,57.4895
401,57.6597,0,57.6597
402,57.8311,0,57.8311
403,57.9915,0,57.9915
404,58.141,0,58.141
405,58.2914,0,58.2914
406,58.4458,0,58.4458
407,58.6022,0,58.6022
408,58.7551,0,58.7551
409,58.8899,0,58.8899
410,59.0256,0,59.0256
411,59.1553,0,59.1553
412,59.2792,0,59.2792
413,59.4039,0,59.4039
414,59.5237,0,59.5237
415,59.6418,0,59.6418
416,59.7606,0,59.7606
417,59.874,0,59.874
418,59.9873,0,59.9873
419,60.1003,0,60.1003
420,60.2031,0,60.2031
421,60.3065,0,60.3065
422,60.4075,0,60.4075
423,60.5021,0,60.5021
424,60.5973,0,60.5973
425,60.693,0,60.693
426,60.7896,0,60.7896
427,60.8869,0,60.8869
428,60.9788,0,60.9788
429,61.0652,0,61.0652
430,61.1522,0,61.1522
431,61.2384,0,61.2384
432,61.3238,0,61.3238
433,61.4097,0,61.4097
434,61.4922,0,61.4922
435,61.5712,0,61.5712
436,61.6507,0,61.6507
437,61.7277,0,61.7277
438,61.8005,0,61.8005
439,61.8737,0,61.8737
440,61.9465,0,61.9465
441,62.0182,0,62.0182
442,62.0902,0,62.0902
443,62.1601,0,62.1601
444,62.22,0,62.22
445,62.2801,0,62.2801
446,62.3406,0,62.3406
447,62.409,0,62.409
448,62.4779,0,62.4779
449,62.5471,0,62.5471
450,62.606,0,62.606
451,62.6626,0,62.6626
452,62.7194,0,62.7194
453,62.7779,0,62.7779
454,62.8381,0,62.8381
455,62.8987,0,62.8987
456,62.9587,0,62.9587
457,63.0154,0,63.0154
458,63.0725,0,63.0725
459,63.1299,0,63.1299
460,63.1843,0,63.1843
461,63.2382,0,63.2382
462,63.2924,0,63.2924
463,63.3472,0,63.3472
464,63.403,0,63.403
465,63.459,0,63.459
466,63.5153,0,63.5153
467,63.5578,0,63.5578
468,63.599,0,63.599
469,63.6403,0,63.6403
470,63.6851,0,63.6851
471,63.7349,0,63.7349
472,63.7851,0,63.7851
473,63.8354,0,63.8354
474,63.8668,0,63.8668
475,63.8933,0,63.8933
476,63.9196,0,63.9196
477,63.9477,0,63.9477
478,63.992,0,63.992
479,64.0364,0,64.0364
480,64.0811,0,64.0811
481,64.1227,0,64.1227
482,64.1596,0,64.1596
483,64.1967,0,64.1967
484,64.2339,0,64.2339
485,64.2707,0,64.2707
486,64.3075,0,64.3075
487,64.3444,0,64.3444
488,64.3815,0,64.3815
489,64.4183,0,64.4183
490,64.4552,0,64.4552
491,64.4922,0,64.4922
492,64.5294,0,64.5294
493,64.5639,0,64.5639
494,64.5984,0,64.5984
495,64.6332,0,64.6332
496,64.6679,0,64.6679
497,64.7011,0,64.7011
498,64.7345,0,64.7345
499,64.768,0,64.768
500,64.801,0,64.801
501,64.8289,0,64.8289
502,64.8569,0,64.8569
503,64.8851,0,64.8851
504,64.9134,0,64.9134
505,64.9489,0,64.9489
506,64.9846,0,64.9846
507,65.0204,0,65.0204
508,65.0563,0,65.0563
509,65.0816,0,65.0816
510,65.1059,0,65.1059
511,65.1302,0,65.1302
512,65.1546,0,65.1546
513,65.1816,0,65.1816
514,65.2097,0,65.2097
515,65.2381,0,65.2381
516,65.2666,0,65.2666
517,65.2938,0,65.2938
518,65.319,0,65.319
519,65.3444,0.0001,65.3443
520,65.3698,0.0001,65.3697
521,65.3952,0.0001,65.3951
522,65.4196,0.0001,65.4195
523,65.444,0.0001,65.4439
524,65.4686,0.0002,65.4684
525,65.4933,0.0002,65.4931
526,65.5153,0.0003,65.515
527,65.5357,0.0005,65.5352
528,65.5562,0.0009,65.5553
529,65.5767,0.0015,65.5752
530,65.598,0.0024,65.5956
531,65.6252,0.0022,65.623
532,65.6525,0.002,65.6505
533,65.6799,0.0019,65.678
534,65.7074,0.0017,65.7057
535,65.7319,0.0015,65.7304
536,65.7544,0.0014,65.753
537,65.777,0.0012,65.7758
538,65.7997,0.001,65.7987
539,65.8226,0.0009,65.8217
540,65.8433,0.0011,65.8422
541,65.8639,0.0014,65.8625
542,65.8845,0.0017,65.8828
543,65.9053,0.0021,65.9032
544,65.9263,0.0025,65.9238
545,65.9479,0.0026,65.9453
546,65.9697,0.0026,65.9671
547,65.9915,0.0027,65.9888
548,66.0135,0.0027,66.0108
549,66.0329,0.0035,66.0294
550,66.0484,0.0062,66.0422
551,66.064,0.0111,66.0529
552,66.0796,0.0196,66.06
553,66.0953,0.0348,66.0605
554,66.1139,0.0406,66.0733
555,66.1353,0.0314,66.1039
556,66.1568,0.0243,66.1325
557,66.1784,0.0188,66.1596
558,66.2001,0.0146,66.1855
559,66.2186,0.0147,66.2039
560,66.234,0.0195,66.2145
561,66.2495,0.0257,66.2238
562,66.2651,0.034,66.2311
563,66.2808,0.0448,66.236
564,66.2983,0.0513,66.247
565,66.3186,0.0476,66.271
566,66.339,0.0442,66.2948
567,66.3594,0.0411,66.3183
568,66.3799,0.0382,66.3417
569,66.3986,0.0383,66.3603
570,66.4127,0.0458,66.3669
571,66.4268,0.0548,66.372
572,66.4411,0.0655,66.3756
573,66.4554,0.0782,66.3772
574,66.4697,0.0934,66.3763
575,66.4858,0.1067,66.3791
576,66.502,0.1218,66.3802
577,66.5182,0.139,66.3792
578,66.5345,0.1586,66.3759
579,66.5509,0.1808,66.3701
580,66.5674,0.1784,66.389
581,66.584,0.1598,66.4242
582,66.6007,0.1433,66.4574
583,66.6175,0.1285,66.489
584,66.6343,0.1153,66.519
585,66.6509,0.1059,66.545
586,66.666,0.1071,66.5589
587,66.6812,0.1083,66.5729
588,66.6964,0.1096,66.5868
589,66.7118,0.1108,66.601
590,66.7272,0.112,66.6152
591,66.7408,0.1211,66.6197
592,66.7534,0.1369,66.6165
593,66.766,0.1547,66.6113
594,66.7786,0.1747,66.6039
595,66.7913,0.1973,66.594
596,66.8041,0.2227,66.5814
597,66.8168,0.2427,66.5741
598,66.8296,0.2634,66.5662
599,66.8425,0.2859,66.5566
600,66.8554,0.3102,66.5452
601,66.8684,0.3364,66.532
602,66.8812,0.3622,66.519
603,66.8929,0.3654,66.5275
604,66.9047,0.3686,66.5361
605,66.9164,0.3718,66.5446
606,66.9283,0.3751,66.5532
607,66.9402,0.3784,66.5618
608,66.9523,0.3843,66.568
609,66.9653,0.4013,66.564
610,66.9783,0.4188,66.5595
611,66.9914,0.4372,66.5542
612,67.0045,0.4562,66.5483
613,67.0177,0.476,66.5417
614,67.0305,0.4999,66.5306
615,67.0416,0.5389,66.5027
616,67.0527,0.5808,66.4719
617,67.0639,0.6258,66.4381
618,67.0751,0.6741,66.401
619,67.0864,0.726,66.3604
620,67.0979,0.7766,66.3213
621,67.1107,0.7823,66.3284
622,67.1237,0.7881,66.3356
623,67.1366,0.7939,66.3427
624,67.1496,0.7997,66.3499
625,67.1627,0.8055,66.3572
626,67.1758,0.8114,66.3644
627,67.1856,0.8811,66.3045
628,67.1946,0.9745,66.2201
629,67.2037,1.0776,66.1261
630,67.2128,1.1911,66.0217
631,67.222,1.3162,65.9058
632,67.2312,1.454,65.7772
633,67.2412,1.5661,65.6751
634,67.2523,1.6245,65.6278
635,67.2634,1.6848,65.5786
636,67.2746,1.7472,65.5274
637,67.2858,1.8117,65.4741
638,67.297,1.8784,65.4186
639,67.3083,1.9473,65.361
640,67.3191,2.0168,65.3023
641,67.33,2.0884,65.2416
642,67.3408,2.1624,65.1784
643,67.3518,2.2387,65.1131
644,67.3627,2.3174,65.0453
645,67.3737,2.3987,64.975
646,67.3844,2.4823,64.9021
647,67.3938,2.5677,64.8261
648,67.4032,2.6557,64.7475
649,67.4126,2.7464,64.6662
650,67.4222,2.84,64.5822
651,67.4317,2.9364,64.4953
652,67.4413,3.0358,64.4055
653,67.4504,3.1029,64.3475
654,67.4586,3.1179,64.3407
655,67.4669,3.133,64.3339
656,67.4752,3.1481,64.3271
657,67.4836,3.1632,64.3204
658,67.492,3.1783,64.3137
