model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
379,43.7639,0,43.7639
380,44.1374,0,44.1374
381,44.501,0,44.501
382,44.8644,0,44.8644
383,45.2321,0,45.2321
384,45.6026,0,45.6026
385,45.9795,0,45.9795
386,46.3152,0,46.3152
387,46.6569,0,46.6569
388,46.9987,0,46.9987
389,47.3406,0,47.3406
390,47.6853,0,47.6853
391,48.0069,0,48.0069
392,48.3341,0,48.3341
393,48.6547,0,48.6547
394,48.9726,0,48.9726
395,49.2935,0,49.2935
396,49.6009,0,49.6009
397,49.913,0,49.913
398,50.2152,0,50.2152
399,50.5119,0,50.5119
400,50.8131,0,50.8131
401,51.1071,0,51.1071
402,51.4052,0,51.4052
403,51.6946,0,51.6946
404,51.975,0,51.975
405,52.259,0,52.259
406,52.5471,0,52.5471
407,52.8389,0,52.8389
408,53.13,0,53.13
409,53.4077,0,53.4077
410,53.6887,0,53.6887
411,53.9663,0,53.9663
412,54.2401,0,54.2401
413,54.517,0,54.517
414,54.7889,0,54.7889
415,55.0601,0,55.0601
416,55.334,0,55.334
417,55.6033,0,55.6033
418,55.8743,0,55.8743
419,56.1469,0,56.1469
420,56.4137,0,56.4137
421,56.6829,0,56.6829
422,56.9516,0,56.9516
423,57.216,0,57.216
424,57.4827,0,57.4827
425,57.7496,0,57.7496
426,58.0159,0,58.0159
427,58.2841,0,58.2841
428,58.5485,0,58.5485
429,58.8092,0,58.8092
430,59.0716,0,59.0716
431,59.3346,0,59.3346
432,59.5981,0,59.5981
433,59.8633,0,59.8633
434,60.1232,0,60.1232
435,60.3777,0,60.3777
436,60.6336,0,60.6336
437,60.8918,0,60.8918
438,61.153,0,61.153
439,61.4157,0,61.4157
440,61.6776,0,61.6776
441,61.9353,0,61.9353
442,62.1943,0,62.1943
443,62.4529,0,62.4529
444,62.7064,0,62.7064
445,62.9612,0,62.9612
446,63.2172,0,63.2172
447,63.4713,0,63.4713
448,63.7263,0,63.7263
449,63.9823,0,63.9823
450,64.2383,0,64.2383
451,64.4918,0,64.4918
452,64.7462,0,64.7462
453,64.9975,0,64.9975
454,65.2453,0,65.2453
455,65.4938,0,65.4938
456,65.7419,0,65.7419
457,65.9864,0,65.9864
458,66.2315,0,66.2315
459,66.4771,0,66.4771
460,66.7186,0,66.7186
461,66.9595,0,66.9595
462,67.2007,0,67.2007
463,67.4421,0,67.4421
464,67.6833,0,67.6833
465,67.9249,0,67.9249
466,68.1667,0,68.1667
467,68.4085,0,68.4085
468,68.6506,0,68.6506
469,68.8931,0,68.8931
470,69.1342,0,69.1342
471,69.3725,0,69.3725
472,69.611,0,69.611
473,69.8497,0,69.8497
474,70.0912,0,70.0912
475,70.3336,0,70.3336
476,70.5763,0,70.5763
477,70.8179,0,70.8179
478,71.047,0,71.047
479,71.2761,0,71.2761
480,71.505,0,71.505
481,71.7363,0,71.7363
482,71.9715,0,71.9715
483,72.2067,0,72.2067
484,72.4418,0,72.4418
485,72.6714,0,72.6714
486,72.8985,0,72.8985
487,73.1255,0,73.1255
488,73.3522,0,73.3522
489,73.5765,0,73.5765
490,73.8002,0,73.8002
491,74.0237,0,74.0237
492,74.2469,0,74.2469
493,74.4689,0,74.4689
494,74.6906,0,74.6906
495,74.912,0,74.912
496,75.1324,0,75.1324
497,75.3473,0,75.3473
498,75.5618,0,75.5618
499,75.7758,0,75.7758
500,75.9895,0,75.9895
501,76.2012,0,76.2012
502,76.4125,0,76.4125
503,76.6233,0,76.6233
504,76.8338,0,76.8338
505,77.0374,0,77.0374
506,77.2405,0,77.2405
507,77.4429,0,77.4429
508,77.6447,0,77.6447
509,77.8519,0,77.8519
510,78.0592,0,78.0592
511,78.266,0,78.266
512,78.4722,0,78.4722
513,78.6718,0,78.6718
514,78.8682,0,78.8682
515,79.0639,0,79.0639
516,79.2589,0,79.2589
517,79.4535,0,79.4535
518,79.6478,0.0001,79.6477
519,79.8415,0.0001,79.8414
520,80.0344,0.0001,80.0343
521,80.2264,0.0001,80.2263
522,80.4156,0.0001,80.4155
523,80.604,0.0002,80.6038
524,80.7917,0.0002,80.7915
525,80.9786,0.0002,80.9784
526,81.1663,0.0004,81.1659
527,81.3543,0.0006,81.3537
528,81.5416,0.0011,81.5405
529,81.728,0.0019,81.7261
530,81.913,0.003,81.91
531,82.0919,0.0028,82.0891
532,82.2699,0.0026,82.2673
533,82.447,0.0024,82.4446
534,82.6232,0.0022,82.621
535,82.7954,0.0019,82.7935
536,82.9646,0.0017,82.9629
537,83.1329,0.0015,83.1314
538,83.3003,0.0013,83.299
539,83.4667,0.0012,83.4655
540,83.6362,0.0014,83.6348
541,83.8052,0.0018,83.8034
542,83.9733,0.0022,83.9711
543,84.1404,0.0027,84.1377
544,84.306,0.0032,84.3028
545,84.4681,0.0033,84.4648
546,84.6293,0.0034,84.6259
547,84.7895,0.0035,84.786
548,84.9488,0.0035,84.9453
549,85.1091,0.0045,85.1046
550,85.2716,0.008,85.2636
551,85.433,0.0143,85.4187
552,85.5934,0.0254,85.568
553,85.7528,0.0451,85.7077
554,85.9057,0.0528,85.8529
555,86.052,0.0408,86.0112
556,86.1972,0.0316,86.1656
557,86.3415,0.0245,86.317
558,86.4847,0.019,86.4657
559,86.6295,0.0193,86.6102
560,86.7758,0.0255,86.7503
561,86.921,0.0338,86.8872
562,87.0652,0.0446,87.0206
563,87.2083,0.0589,87.1494
564,87.3492,0.0675,87.2817
565,87.4871,0.0628,87.4243
566,87.624,0.0584,87.5656
567,87.7599,0.0543,87.7056
568,87.8947,0.0505,87.8442
569,88.0284,0.0507,87.9777
570,88.1609,0.0608,88.1001
571,88.2924,0.0728,88.2196
572,88.4228,0.0871,88.3357
573,88.5522,0.1042,88.448
574,88.6805,0.1246,88.5559
575,88.8081,0.1425,88.6656
576,88.9346,0.1629,88.7717
577,89.0601,0.1861,88.874
578,89.1845,0.2126,88.9719
579,89.3078,0.2427,89.0651
580,89.4275,0.2396,89.1879
581,89.5445,0.215,89.3295
582,89.6604,0.1929,89.4675
583,89.7752,0.1732,89.602
584,89.8891,0.1555,89.7336
585,90.002,0.1431,89.8589
586,90.1146,0.1448,89.9698
587,90.2262,0.1466,90.0796
588,90.3368,0.1484,90.1884
589,90.4463,0.1502,90.2961
590,90.5547,0.152,90.4027
591,90.6621,0.1645,90.4976
592,90.7685,0.1862,90.5823
593,90.8737,0.2106,90.6631
594,90.978,0.2381,90.7399
595,91.0812,0.269,90.8122
596,91.1833,0.3039,90.8794
597,91.2838,0.3315,90.9523
598,91.3831,0.3602,91.0229
599,91.4815,0.3913,91.0902
600,91.5787,0.4249,91.1538
601,91.6744,0.4612,91.2132
602,91.7688,0.4969,91.2719
603,91.8603,0.5017,91.3586
