sim:nr PA area distance majoraxis n60 n70 n80 n90 probability
 327  18  345.95 312.80   52.23   6  10  13  19  30  0.84
  20  41  356.93 204.50   73.35  40  12  15  24  30  0.84
  36  60  364.27 314.49   89.00  14  12  14  18  30  0.88
 550  23  369.52 372.92   54.88  16  15  20  23  30  0.90
 301  59  370.16 397.08   55.27  59  12  15  22  30  0.90
 151  89  373.04 308.85   96.37  11  12  14  18  30  0.87
   5  79  374.98 347.30   45.10  38   8  10  25  30  0.87
 350  85  378.64 558.79   21.75  21   8  10  17  29  0.90
 567  62  379.70 568.81   30.54   6   8  14  17  25  0.91
 444  49  390.09 286.68   40.98   3   9  12  15  30  0.89
 267  43  393.33 359.46   26.01  19   8  10  20  30  0.88
 495  10  408.06 497.51   40.93  41  13  16  20  30  0.89
 313  81  417.34 277.93   77.29   6  13  16  23  30  0.90
 362  60  420.04 368.35   33.31  33  12  14  23  30  0.88
 303  21  434.17 291.27   51.67  22  14  21  26  30  0.82
 372  47  437.30 199.88   42.53   3  18  20  27  30  0.87
 450  19  442.36 676.50   42.05  31  10  25  30  30  0.79
 330  82  445.73 331.35   52.38  93  18  23  30  30  0.80
 206  17  448.61 266.55   37.37   6  14  17  27  30  0.82
 120  59  453.66 551.88   29.59  17  11  16  23  30  0.88
 537  79  463.30 393.47   39.04   9  11  20  30  30  0.79
 554  65  464.21 359.86   62.29  29  19  25  30  30  0.78
 561  14  468.15 382.78   33.77   6  30  30  30  30  0.53
 535  46  469.59 419.61   44.15  44  26  30  30  30  0.68
 409  66  469.80 400.94   79.39  44  20  27  30  30  0.75
  16  42  478.92 483.05   92.11  35  15  20  27  30  0.82
 219  10  485.45 404.03   73.02  52  14  17  24  30  0.84
 519  34  488.44 452.24   53.58  10  13  19  25  30  0.86
  50   7  492.67 255.20   43.01  57  25  30  30  30  0.68
 200  69  506.97 326.80   51.68   6  18  20  26  30  0.82
 478  38  507.40 314.15   84.13 147  15  21  27  30  0.83
 331  25  509.06 237.27   56.11   3  17  22  29  30  0.82
 566  57  509.94 652.83   40.27  52  11  16  22  30  0.86
  78  80  521.76 292.10   57.53  41  18  24  29  30  0.82
 265  23  526.58 209.38   48.81  54  15  19  30  30  0.79
 292  74  536.39 347.19   83.14  56  16  21  26  30  0.83
 158  87  538.63 384.78   47.30  49  10  14  30  30  0.77
 252  73  539.19 601.54   61.11  33  22  29  30  30  0.73
 128  54  541.18 330.87   50.20   5  24  30  30  30  0.71
 436   1  542.80 289.75   68.81  53  29  30  30  30  0.62
 467   2  546.57 460.85   44.22  54  20  26  30  30  0.78
  15  31  546.80 441.70   75.49   2  13  18  30  30  0.79
  39  27  550.22 401.12   57.89  40  15  18  22  30  0.85
 438  49  557.99 366.83   72.94  25  22  29  30  30  0.73
 532  33  559.64 398.41   58.60   2  14  20  30  30  0.80
 133  67  564.19 273.24   34.55   8  20  30  30  30  0.68
 280  30  569.73 508.13   81.57  56  18  25  30  30  0.77
  60  56  573.69 150.82   53.66  44  20  24  30  30  0.82
 232  79  580.46 376.54   42.33   7  30  30  30  30  0.52
 314  78  597.20 380.59   51.68  40  22  27  30  30  0.75
 474  43  603.88 361.83   55.43 109  19  26  30  30  0.77
 529  54  610.88 543.63   77.77 232  16  21  28  30  0.82
 161  40  614.44 189.54   35.71   3  10  15  28  30  0.82
 512  75  615.84 347.54   55.79  92  17  26  30  30  0.76
 358  69  616.17 310.26   54.38   5  18  20  28  30  0.82
 480  67  618.91 406.43   59.22  44  26  30  30  30  0.69
 245  50  624.05 408.10   35.41  52  26  30  30  30  0.67
  86  60  631.27 349.02   54.45   3  24  30  30  30  0.66
 341  15  639.76 563.42   81.40  13  16  24  30  30  0.79
 238  77  647.65 349.31   33.77   9  30  30  30  30  0.59
 545  32  665.93 388.12   75.08   1  24  30  30  30  0.66
 297  15  674.12 384.49   54.49   6  30  30  30  30  0.54
 349  80  679.85 390.57   51.54  41  20  26  30  30  0.75
 269  87  689.88 428.05   64.66 216  19  27  30  30  0.75
 384  84  698.34 361.08   59.05  46  22  28  30  30  0.72
 399  59  710.20 587.43   89.97  15  17  22  30  30  0.79
  21   3  713.46 316.37   40.35  22  12  15  20  30  0.86
 105  18  713.74 231.41   16.40  26  24  30  30  30  0.68
 216  70  725.81 433.59   67.84  33  28  30  30  30  0.66
  69  87  731.91 486.64   73.55  44  24  30  30  30  0.68
 424  73  746.98 363.68   62.53   3  18  25  30  30  0.71
 160  77  748.79 301.36   86.82 225  18  30  30  30  0.68
 159  35  751.56 339.32   59.10  23  22  30  30  30  0.70
 557  79  752.08 398.61   84.69  24  22  28  30  30  0.72
 451  32  756.58 549.59   49.40  35  16  28  30  30  0.70
 503  47  758.09 562.60   65.45  26  30  30  30  30  0.59
 487  53  770.37 585.77   69.75  38  23  29  30  30  0.71
 139  27  772.74 605.79   68.66  58  28  30  30  30  0.64
 420  61  773.29 417.77   64.09  33  30  30  30  30  0.56
  58   0  776.10 318.54   57.46  29  24  30  30  30  0.70
  26  13  787.40 358.71    9.92  34  30  30  30  30  0.59
 461  89  788.80 353.16   52.88 245  25  30  30  30  0.69
  33  84  818.95 510.83   51.29  65  17  24  30  30  0.73
 556  19  835.90 520.78   79.07  50  21  30  30  30  0.71
 186  36  845.12 495.55   19.81  19  24  30  30  30  0.69
 486  79  854.36 554.34   62.53  53  25  30  30  30  0.67
 361  51  860.72 561.83   91.94 165  23  30  30  30  0.68
  52  88  865.93 582.25   86.66  32  26  30  30  30  0.67
 178  49  878.68 291.87   87.09   1  21  30  30  30  0.69
 173  33  882.62 193.28   82.81 522  30  30  30  30  0.51
 249  18  890.18 491.72   82.94  16  20  30  30  30  0.68
 531  65  914.69 325.98   20.45  31  14  30  30  30  0.67
 136  27  914.89 577.59   61.70  70  29  30  30  30  0.61
