0.0710695 41.4956 8.82702e+13 0.479509 15409.7 1470.14 -14.1913 -14.0636 -13.7978 -13.5559 -13.314 -15.0013 -14.0055 -13.9398 -13.9459 -13.924 -15.4881 -15.6504 -15.5647 -13.7321 -13.7021 -13.7302 -13.6383
0.0951977 41.5941 1.17946e+14 0.478324 14108 807.46 -14.5388 -14.4623 -14.2351 -14.0158 -13.7771 -15.3495 -14.3923 -14.3637 -14.3851 -14.3865 -15.6483 -15.8504 -15.8132 -14.2071 -14.1978 -14.2285 -14.1485
0.126709 41.6819 1.55303e+14 0.473192 12932.2 450.955 -14.8303 -14.8164 -14.636 -14.4357 -14.2189 -15.6535 -14.7432 -14.7428 -14.7925 -14.8157 -15.7455 -15.9884 -16.0012 -14.6522 -14.6554 -14.6986 -14.6218
0.168111 41.7581 2.01693e+14 0.463192 11857 254.176 -15.0774 -15.1258 -14.9885 -14.8198 -14.6155 -15.9074 -15.0401 -15.0828 -15.1585 -15.1998 -15.7753 -16.0623 -16.1307 -15.0669 -15.0769 -15.1325 -15.0682
0.217225 41.8153 2.52455e+14 0.448683 10952.7 151.408 -15.2517 -15.3569 -15.272 -15.1261 -14.9401 -16.0817 -15.2669 -15.355 -15.4491 -15.5131 -15.7311 -16.0662 -16.1843 -15.4072 -15.4242 -15.4912 -15.4453
0.266033 41.8505 2.98821e+14 0.433652 10273.3 100.604 -15.3457 -15.5092 -15.4641 -15.3365 -15.1689 -16.1819 -15.413 -15.5316 -15.6503 -15.7327 -15.6413 -16.0099 -16.1772 -15.6452 -15.6776 -15.7538 -15.72
0.316879 41.8726 3.4314e+14 0.418065 9709.83 70.7367 -15.3924 -15.6125 -15.604 -15.4969 -15.3456 -16.2324 -15.5082 -15.6554 -15.7983 -15.9013 -15.522 -15.9192 -16.135 -15.8299 -15.8742 -15.9585 -15.9328
0.370914 41.8854 3.8653e+14 0.402323 9216.02 51.5324 -15.4041 -15.6781 -15.7086 -15.6239 -15.4874 -16.2476 -15.5664 -15.7451 -15.9104 -16.0339 -15.3774 -15.8026 -16.0649 -15.9791 -16.0326 -16.1244 -16.1079
0.429222 41.8907 4.3001e+14 0.386778 8764.76 38.4259 -15.3816 -15.7131 -15.7867 -15.7235 -15.6013 -16.2395 -15.5942 -15.8088 -15.9956 -16.1335 -15.2041 -15.6509 -15.9634 -16.1002 -16.1681 -16.267 -16.2649
0.492794 41.8899 4.74145e+14 0.371459 8342.65 29.1161 -15.3378 -15.7262 -15.8425 -15.8007 -15.6928 -16.1978 -15.6002 -15.8504 -16.0586 -16.2167 -14.9925 -15.4607 -15.8291 -16.2049 -16.281 -16.3931 -16.3991
0.562671 41.8834 5.1941e+14 0.356386 7941.05 22.3108 -15.2698 -15.7147 -15.8796 -15.859 -15.7652 -16.1329 -15.5847 -15.8703 -16.1028 -16.2821 -14.7551 -15.2444 -15.6693 -16.2914 -16.3777 -16.5008 -16.517
0.63973 41.8716 5.65996e+14 0.341571 7555.75 17.2448 -15.1763 -15.678 -15.8992 -15.8997 -15.8204 -16.0464 -15.5477 -15.8689 -16.1294 -16.3301 -14.4919 -15.0023 -15.4838 -16.3608 -16.461 -16.5913 -16.6216
0.724395 41.8547 6.14165e+14 0.327322 7183.46 13.4395 -15.0466 -15.6213 -15.8937 -15.9161 -15.866 -15.924 -15.4764 -15.8487 -16.1311 -16.361 -14.1797 -14.7046 -15.2519 -16.4209 -16.5284 -16.6734 -16.7183
