model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
150,7.6957,0,7.6957
151,7.7268,0,7.7268
152,7.7602,0,7.7602
153,7.7932,0,7.7932
154,7.8262,0,7.8262
155,7.8588,0,7.8588
156,7.8994,0,7.8994
157,7.9393,0,7.9393
158,7.9787,0,7.9787
159,8.0175,0,8.0175
160,8.0561,0,8.0561
161,8.1059,0,8.1059
162,8.1554,0,8.1554
163,8.2043,0,8.2043
164,8.2531,0,8.2531
165,8.3015,0,8.3015
166,8.3587,0,8.3587
167,8.4195,0,8.4195
168,8.4804,0,8.4804
169,8.5414,0,8.5414
170,8.6028,0,8.6028
171,8.6646,0,8.6646
172,8.7372,0,8.7372
173,8.8102,0,8.8102
174,8.8839,0,8.8839
175,8.9583,0,8.9583
176,9.0336,0,9.0336
177,9.1097,0,9.1097
178,9.1942,0,9.1942
179,9.2805,0,9.2805
180,9.3678,0,9.3678
181,9.4562,0,9.4562
182,9.5457,0,9.5457
183,9.6363,0,9.6363
184,9.7307,0,9.7307
185,9.8324,0,9.8324
186,9.9352,0,9.9352
187,10.0393,0,10.0393
188,10.1445,0,10.1445
189,10.2511,0,10.2511
190,10.3589,0,10.3589
191,10.9597,0,10.9597
192,11.5689,0,11.5689
193,12.1908,0,12.1908
194,12.8271,0,12.8271
195,13.4795,0,13.4795
196,14.1499,0,14.1499
197,14.8394,0,14.8394
198,15.5496,0,15.5496
199,16.2882,0,16.2882
200,17.0544,0,17.0544
201,17.8449,0,17.8449
202,18.6603,0,18.6603
203,19.5011,0,19.5011
204,20.3677,0,20.3677
205,21.2603,0,21.2603
206,22.1792,0,22.1792
207,23.1378,0,23.1378
208,24.1441,0,24.1441
209,25.1392,0,25.1392
210,26.199,0,26.199
211,27.2621,0,27.2621
212,28.3735,0,28.3735
213,29.4827,0,29.4827
214,30.6267,0,30.6267
215,31.8142,0,31.8142
216,33.0748,0,33.0748
217,34.2886,0,34.2886
218,35.5093,0,35.5093
219,36.8107,0,36.8107
220,38.1651,0,38.1651
221,39.4842,0,39.4842
222,40.9035,0,40.9035
223,42.3318,0,42.3318
224,43.8756,0,43.8756
225,45.4595,0,45.4595
226,47.0376,0,47.0376
227,48.755,0,48.755
228,50.5266,0,50.5266
229,52.3006,0,52.3006
230,54.0998,0,54.0998
231,55.878,0,55.878
232,57.5089,0,57.5089
233,59.0064,0,59.0064
234,60.3534,0,60.3534
235,61.4609,0,61.4609
236,62.4598,0,62.4598
237,63.3085,0,63.3085
238,64.0587,0,64.0587
239,64.7066,0,64.7066
240,65.2897,0,65.2897
241,65.8409,0,65.8409
242,66.3047,0,66.3047
243,66.7766,0,66.7766
244,67.2699,0,67.2699
245,67.7008,0,67.7008
246,68.1158,0,68.1158
247,68.5382,0,68.5382
248,68.913,0,68.913
249,69.345,0,69.345
250,69.7396,0,69.7396
251,70.0364,0,70.0364
252,70.3662,0,70.3662
253,70.6357,0,70.6357
254,70.9922,0,70.9922
255,71.2449,0,71.2449
256,71.4912,0,71.4912
257,71.7246,0,71.7246
258,71.9265,0,71.9265
259,72.0819,0,72.0819
260,72.2107,0,72.2107
261,72.3,0,72.3
262,72.362,0,72.362
263,72.4045,0,72.4045
264,72.4014,0,72.4014
265,72.356,0,72.356
266,72.333,0,72.333
267,72.2899,0,72.2899
268,72.2745,0,72.2745
269,72.2538,0,72.2538
270,72.2554,0,72.2554
271,72.3023,0,72.3023
272,72.3726,0,72.3726
273,72.4923,0,72.4923
274,72.6695,0,72.6695
275,72.8566,0,72.8566
276,73.0313,0,73.0313
277,73.191,0,73.191
278,73.374,0,73.374
279,73.5554,0,73.5554
280,73.6837,0,73.6837
281,73.7944,0,73.7944
282,73.8773,0,73.8773
283,73.932,0,73.932
284,73.9625,0,73.9625
285,74.0084,0,74.0084
286,74.0748,0,74.0748
287,74.1575,0,74.1575
288,74.4932,0,74.4932
289,74.8845,0,74.8845
290,75.3391,0,75.3391
291,75.9282,0,75.9282
292,76.5106,0,76.5106
293,77.0531,0,77.0531
294,77.5633,0,77.5633
295,78.0385,0,78.0385
296,78.4532,0,78.4532
297,78.8181,0,78.8181
298,79.1377,0,79.1377
299,79.3657,0,79.3657
300,79.5624,0,79.5624
301,79.7466,0,79.7466
302,79.9221,0,79.9221
303,80.0503,0,80.0503
304,80.1481,0,80.1481
305,80.2439,0,80.2439
306,80.2842,0,80.2842
307,80.2996,0,80.2996
308,80.3058,0,80.3058
309,80.2897,0,80.2897
310,80.2593,0,80.2593
311,80.2136,0,80.2136
312,80.148,0,80.148
313,80.0629,0,80.0629
314,79.9714,0,79.9714
315,79.871,0,79.871
316,79.7512,0,79.7512
317,79.623,0,79.623
318,79.4898,0,79.4898
319,79.343,0,79.343
320,79.188,0,79.188
321,79.0381,0,79.0381
322,78.8767,0,78.8767
323,78.712,0,78.712
324,78.5398,0,78.5398
325,78.3645,0,78.3645
326,78.1846,0,78.1846
327,78.0011,0,78.0011
328,77.8165,0,77.8165
329,77.6206,0,77.6206
330,77.4206,0,77.4206
331,77.2103,0,77.2103
332,77.0009,0,77.0009
333,76.7924,0,76.7924
334,76.5731,0,76.5731
335,76.3496,0,76.3496
336,76.1197,0,76.1197
337,75.8892,0,75.8892
338,75.6534,0,75.6534
339,75.4151,0,75.4151
340,75.1636,0,75.1636
341,74.9173,0,74.9173
342,74.6656,0,74.6656
343,74.403,0,74.403
344,74.1297,0,74.1297
345,73.8433,0,73.8433
346,73.5486,0,73.5486
347,73.238,0,73.238
348,72.9215,0,72.9215
349,72.5706,0,72.5706
350,72.2061,0,72.2061
351,71.8113,0,71.8113
352,71.4107,0,71.4107
353,70.9556,0,70.9556
354,70.4892,0,70.4892
355,69.9828,0,69.9828
356,69.4694,0,69.4694
357,68.8959,0,68.8959
358,68.298,0,68.298
359,67.7034,0,67.7034
360,67.1122,0,67.1122
361,66.548,0,66.548
362,65.9917,0,65.9917
363,65.4948,0,65.4948
364,65.0493,0,65.0493
365,64.6409,0,64.6409
366,64.3292,0,64.3292
367,64.0326,0,64.0326
368,63.8813,0,63.8813
369,63.7,0,63.7
370,63.6649,0,63.6649
371,63.6003,0,63.6003
372,63.6313,0,63.6313
373,63.6668,0,63.6668
374,63.7563,0,63.7563
375,63.8808,0,63.8808
376,64.0131,0,64.0131
377,64.1912,0,64.1912
378,64.3584,0,64.3584
379,64.5462,0,64.5462
380,64.7283,0,64.7283
381,64.9113,0,64.9113
