nm,front surface transmssion,substrate transmission,predicted QE (%)
396,67.1241,0,67.1241
397,67.23,0,67.23
398,67.3287,0,67.3287
399,67.423,0,67.423
400,67.5186,0,67.5186
401,67.6052,0,67.6052
402,67.6929,0,67.6929
403,67.7727,0,67.7727
404,67.8447,0,67.8447
405,67.9178,0,67.9178
406,68,0,68
407,68.0855,0,68.0855
408,68.167,0,68.167
409,68.2284,0,68.2284
410,68.2908,0,68.2908
411,68.3481,0,68.3481
412,68.4002,0,68.4002
413,68.4532,0,68.4532
414,68.5054,0,68.5054
415,68.558,0,68.558
416,68.6116,0,68.6116
417,68.6621,0,68.6621
418,68.7132,0,68.7132
419,68.7639,0,68.7639
420,68.8021,0,68.8021
421,68.8412,0,68.8412
422,68.8783,0,68.8783
423,68.9094,0,68.9094
424,68.9413,0,68.9413
425,68.9766,0,68.9766
426,69.0166,0,69.0166
427,69.0574,0,69.0574
428,69.0933,0,69.0933
429,69.1242,0,69.1242
430,69.1558,0,69.1558
431,69.1871,0,69.1871
432,69.2179,0,69.2179
433,69.2495,0,69.2495
434,69.2812,0,69.2812
435,69.313,0,69.313
436,69.3456,0,69.3456
437,69.3722,0,69.3722
438,69.3892,0,69.3892
439,69.4069,0,69.4069
440,69.4261,0,69.4261
441,69.4483,0,69.4483
442,69.4712,0,69.4712
443,69.4914,0,69.4914
444,69.4992,0,69.4992
445,69.5075,0,69.5075
446,69.5164,0,69.5164
447,69.5422,0,69.5422
448,69.5687,0,69.5687
449,69.5958,0,69.5958
450,69.6054,0,69.6054
451,69.6128,0,69.6128
452,69.6206,0,69.6206
453,69.6348,0,69.6348
454,69.6553,0,69.6553
455,69.6764,0,69.6764
456,69.6974,0,69.6974
457,69.7162,0,69.7162
458,69.7355,0,69.7355
459,69.7554,0,69.7554
460,69.7737,0,69.7737
461,69.7921,0,69.7921
462,69.811,0,69.811
463,69.8313,0,69.8313
464,69.8533,0,69.8533
465,69.8759,0,69.8759
466,69.899,0,69.899
467,69.9,0,69.9
468,69.8989,0,69.8989
469,69.8982,0,69.8982
470,69.9043,0,69.9043
471,69.9206,0,69.9206
472,69.9374,0,69.9374
473,69.9546,0,69.9546
474,69.9404,0,69.9404
475,69.9183,0,69.9183
476,69.8964,0,69.8964
477,69.8783,0,69.8783
478,69.8933,0,69.8933
479,69.9087,0,69.9087
480,69.9246,0,69.9246
481,69.9343,0,69.9343
482,69.9346,0,69.9346
483,69.9352,0,69.9352
484,69.9362,0,69.9362
485,69.9399,0,69.9399
486,69.9449,0,69.9449
487,69.9503,0,69.9503
488,69.956,0,69.956
489,69.9627,0,69.9627
490,69.9698,0,69.9698
491,69.9773,0,69.9773
492,69.9851,0,69.9851
493,69.9894,0,69.9894
494,69.994,0,69.994
495,69.9989,0,69.9989
496,70.0043,0,70.0043
497,70.0104,0,70.0104
498,70.0168,0,70.0168
499,70.0236,0,70.0236
500,70.0297,0,70.0297
501,70.029,0,70.029
502,70.0286,0,70.0286
503,70.0284,0,70.0284
504,70.0286,0,70.0286
505,70.0425,0,70.0425
506,70.0566,0,70.0566
507,70.0711,0,70.0711
508,70.0859,0,70.0859
509,70.0824,0,70.0824
510,70.0772,0,70.0772
511,70.0722,0,70.0722
512,70.0675,0,70.0675
