model assumes 10 micron device thickness,,,
nm,front surface transmssion,substrate transmission,predicted QE (%)
150,5.7135,0,5.7135
151,6.0584,0,6.0584
152,6.4208,0,6.4208
153,6.7948,0,6.7948
154,7.1784,0,7.1784
155,7.5691,0,7.5691
156,7.9746,0,7.9746
157,8.3845,0,8.3845
158,8.8037,0,8.8037
159,9.2345,0,9.2345
160,9.6769,0,9.6769
161,10.1517,0,10.1517
162,10.6495,0,10.6495
163,11.1708,0,11.1708
164,11.7225,0,11.7225
165,12.3097,0,12.3097
166,12.9477,0,12.9477
167,13.6346,0,13.6346
168,14.3729,0,14.3729
169,15.171,0,15.171
170,16.0361,0,16.0361
171,16.9735,0,16.9735
172,18.013,0,18.013
173,19.1495,0,19.1495
174,20.3905,0,20.3905
175,21.7523,0,21.7523
176,23.2569,0,23.2569
177,24.9084,0,24.9084
178,26.751,0,26.751
179,28.7834,0,28.7834
180,31.0234,0,31.0234
181,33.4977,0,33.4977
182,36.2047,0,36.2047
183,39.1694,0,39.1694
184,42.4033,0,42.4033
185,45.915,0,45.915
186,49.6276,0,49.6276
187,53.5225,0,53.5225
188,57.5407,0,57.5407
189,61.5066,0,61.5066
190,65.2974,0,65.2974
191,68.8166,0,68.8166
192,71.812,0,71.812
193,74.0856,0,74.0856
194,75.7457,0,75.7457
195,76.732,0,76.732
196,77.3141,0,77.3141
197,77.5087,0,77.5087
198,77.3536,0,77.3536
199,76.8894,0,76.8894
200,76.1435,0,76.1435
201,75.1662,0,75.1662
202,73.9764,0,73.9764
203,72.6198,0,72.6198
204,71.1415,0,71.1415
205,69.5596,0,69.5596
206,67.9231,0,67.9231
207,66.2605,0,66.2605
208,64.6094,0,64.6094
209,62.9092,0,62.9092
210,61.2662,0,61.2662
211,59.6308,0,59.6308
212,58.0517,0,58.0517
213,56.4957,0,56.4957
214,54.9944,0,54.9944
215,53.5664,0,53.5664
216,52.2384,0,52.2384
217,50.9069,0,50.9069
218,49.6208,0,49.6208
219,48.4403,0,48.4403
220,47.344,0,47.344
221,46.2607,0,46.2607
222,45.2914,0,45.2914
223,44.3655,0,44.3655
224,43.5559,0,43.5559
225,42.8055,0,42.8055
226,42.0932,0,42.0932
227,41.5023,0,41.5023
228,40.9735,0,40.9735
229,40.603,0,40.603
230,40.3205,0,40.3205
